LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900,15.5,20,12.5,1,63,95.2381,15.0949,0.6891,0.9113,0.3053,1.3806
B,900,15.5,20,10,1,86,95.2381,10.5769,0.7143,0.9292,0.2571,1.8112
C,900,15.5,19,9,2,99,90.4762,7.8652,0.7,0.9231,0.2245,2.0848
D,900,15.5,18,12,3,138,85.7143,7.724,0.6356,0.8871,0.1746,2.8849
E,900,15.5,18,7,3,189.5,85.7143,4.8232,0.6557,0.9039,0.1429,3.6232
