h0,388.902,956.000239297239,1
h0,346.727,957.000243156558,1
h0,302.504,958.000247009043,1
h0,256.706,959.000237856279,1
h0,210.963,960.000241703695,1
h0,165.47,961.00024555195,1
h0,120.169,962.000236400841,1
h0,74.9968,963.000240250162,1
h0,30.0311,964.000244100173,1
h0,15.5138,965.000235051748,1
h0,60.147,966.000239200629,1
h0,104.858,967.00024334977,1
h0,148.125,968.000234494093,1
h0,189.699,969.000238632767,1
h0,231.555,970.000242772384,1
h0,275.237,971.000246918091,1
h0,319.87,972.000238066973,1
h0,364.543,973.000242215984,1
