LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,15.8939,14.6848,4.9485,62.4273,76.0946,19.3034,0.5982,0.7919,0.3138,1.5008
B,900.0,15.5,16.5848,14.7152,3.7818,92.5242,79.3816,14.0904,0.6285,0.8355,0.2569,1.9499
C,900.0,15.5,16.0788,14.3939,4.7636,118.7182,76.9472,11.6035,0.6088,0.839,0.218,2.3568
D,900.0,15.5,13.1879,18.2727,7.7182,155.9576,63.1472,10.9851,0.479,0.7615,0.1792,2.9831
E,900.0,15.5,13.0909,16.2182,7.8091,183.1848,62.627,8.7726,0.4903,0.7753,0.152,3.2791
