h0,(2018.82,29.8,0),2.08,901
h0,(2015.57,29.8,0),4.13,902
h0,(2010.26,29.8,0),6.18,903
h0,(2003.08,29.8,0),8.03,904
h0,(1993.92,29.8,0),10.02,905
h0,(1982.79,29.8,0),12.03,906
h0,(1969.68,29.8,0),13.96,907
h0,(1954.75,29.8,0),15.74,908
h0,(1937.91,29.8,0),17.68,909
h0,(1919.14,29.8,0),19.6,910
h0,(1899.06,29.8,0),19.76,911
h0,(1880.05,29.8,0),18.47,912
h0,(1862.28,29.8,0),17.21,913
h0,(1845.59,29.8,0),16.28,914
h0,(1829.85,29.8,0),15.29,915
h0,(1814.93,29.8,0),14.58,916
h0,(1800.69,29.8,0),13.9,917
h0,(1787,29.8,0),13.45,918
h0,(1773.76,29.8,0),13.14,919
h0,(1760.9,29.8,0),12.67,920
h0,(1748.31,29.8,0),12.47,921
h0,(1736.01,29.8,0),12.24,922
h0,(1723.86,29.8,0),12.05,923
h0,(1711.86,29.8,0),11.97,924
h0,(1699.97,29.8,0),11.81,925
h0,(1688.13,29.8,0),11.72,926
h0,(1676.35,29.8,0),11.73,927
h0,(1664.65,29.8,0),11.67,928
h0,(1652.99,29.8,0),11.68,929
h0,(1641.34,29.8,0),11.64,930
h0,(1629.72,29.8,0),11.67,931
h0,(1618.1,29.8,0),11.53,932
h0,(1606.54,29.8,0),11.52,933
h0,(1594.96,29.8,0),11.57,934
h0,(1583.41,29.8,0),11.55,935
h0,(1571.86,29.8,0),11.54,936
h0,(1560.28,29.8,0),11.64,937
h0,(1548.73,29.8,0),11.59,938
h0,(1537.19,29.8,0),11.49,939
h0,(1525.65,29.8,0),11.59,940
h0,(1514.23,29.8,0),11.57,941
h0,(1502.68,29.8,0),11.49,942
h0,(1491.15,29.8,0),11.55,943
h0,(1479.59,29.8,0),11.61,944
h0,(1468.05,29.8,0),11.49,945
h0,(1456.52,29.8,0),11.57,946
h0,(1444.83,26.6,0),12.27,947
h0,(1431.56,26.6,0),14.14,948
h0,(1416.41,26.6,0),15.9,949
h0,(1399.53,26.6,0),17.75,950
h0,(1380.72,26.6,0),19.72,951
h0,(1360.1,26.6,0),21.04,952
h0,(1339.34,26.6,0),20.5,953
h0,(1319,26.6,0),20.15,954
h0,(1299,26.6,0),19.81,955
h0,(1279.36,26.6,0),19.55,956
h0,(1259.78,26.6,0),19.71,957
h0,(1239.8,26.6,0),20.08,958
h0,(1219.31,26.6,0),20.79,959
h0,(1198.56,26.6,0),20.81,960
h0,(1177.05,26.6,0),22.46,961
h0,(1153.56,26.6,0),24.35,962
h0,(1128.69,26.6,0),24.93,963
h0,(1104.09,26.6,0),24.38,964
h0,(1080.01,26.6,0),23.67,965
h0,(1056.76,26.6,0),23.01,966
h0,(1034.09,26.6,0),22.39,967
h0,(1012.07,26.6,0),21.58,968
h0,(990.731,26.6,0),20.96,969
h0,(970.065,26.6,0),20.34,970
h0,(950.02,26.6,0),19.84,971
h0,(930.554,26.6,0),19.19,972
h0,(911.704,26.6,0),18.57,973
h0,(893.52,26.6,0),17.84,974
h0,(875.986,26.6,0),17.22,975
h0,(859.093,26.6,0),16.67,976
h0,(842.833,26.6,0),16.13,977
h0,(827.011,26.6,0),15.7,978
h0,(811.457,26.6,0),15.57,979
h0,(796.173,26.6,0),15.15,980
h0,(781.094,26.6,0),15.01,981
h0,(766.268,26.6,0),14.78,982
h0,(751.615,26.6,0),14.62,983
h0,(737.147,26.6,0),14.44,984
h0,(722.816,26.6,0),14.26,985
h0,(708.582,26.6,0),14.21,986
h0,(694.472,26.6,0),14.03,987
h0,(680.445,26.6,0),13.94,988
h0,(666.497,26.6,0),13.8,989
h0,(652.595,26.6,0),13.82,990
h0,(638.729,26.6,0),13.87,991
h0,(624.898,26.6,0),13.88,992
h0,(611.065,26.6,0),13.88,993
h0,(597.3,26.6,0),13.77,994
h0,(583.6,26.6,0),13.63,995
h0,(569.876,26.6,0),13.76,996
h0,(555.982,26.6,0),14.16,997
h0,(541.612,26.6,0),14.76,998
h0,(526.501,26.6,0),15.46,999
h0,(510.517,26.6,0),16.53,1000
h0,(493.333,26.6,0),17.73,1001
h0,(475.265,26.6,0),18.29,1002
h0,(456.75,26.6,0),18.55,1003
h0,(437.763,26.6,0),19.21,1004
h0,(418.432,26.6,0),19.42,1005
h0,(398.735,26.6,0),19.87,1006
h0,(378.766,26.6,0),20.08,1007
h0,(358.65,26.6,0),20.07,1008
h0,(338.575,26.6,0),20.14,1009
h0,(318.627,26.6,0),19.82,1010
h0,(298.882,26.6,0),19.75,1011
h0,(279.314,26.6,0),19.53,1012
h0,(259.928,26.6,0),19.28,1013
h0,(240.563,26.6,0),19.59,1014
h0,(220.703,26.6,0),20.18,1015
h0,(200.197,26.6,0),20.69,1016
h0,(179.389,26.6,0),20.99,1017
h0,(157.949,26.6,0),21.77,1018
h0,(136.22,26.6,0),21.78,1019
h0,(114.327,26.6,0),21.94,1020
h0,(92.1445,26.6,0),22.44,1021
h0,(69.2763,26.6,0),23.51,1022
h0,(44.9403,26.6,0),25.1,1023
