LOS,a,window_size,loss_func,PD,FAR,Youden_index
E,1.500000000000003,20,mae,1.0,0.04838709677419355,0.9516129032258065
E,1.500000000000003,20,hausdorff,1.0,0.04838709677419355,0.9516129032258065
E,1.500000000000003,20,rmse,1.0,0.04838709677419355,0.9516129032258065
E,1.400000000000003,20,hausdorff,1.0,0.056451612903225805,0.9435483870967742
E,1.400000000000003,20,rmse,1.0,0.056451612903225805,0.9435483870967742
E,1.400000000000003,20,mae,1.0,0.056451612903225805,0.9435483870967742
E,1.6000000000000032,20,rmse,0.9523809523809523,0.03225806451612903,0.9201228878648233
E,1.6000000000000032,20,hausdorff,0.9523809523809523,0.03225806451612903,0.9201228878648233
E,1.6000000000000032,20,mae,0.9523809523809523,0.03225806451612903,0.9201228878648233
E,1.300000000000003,20,mae,1.0,0.08064516129032258,0.9193548387096774
E,1.300000000000003,20,rmse,1.0,0.08064516129032258,0.9193548387096774
E,1.300000000000003,20,hausdorff,1.0,0.08064516129032258,0.9193548387096774
E,1.500000000000003,20,mse,1.0,0.0967741935483871,0.9032258064516129
E,1.2000000000000028,20,mae,1.0,0.0967741935483871,0.9032258064516129
E,1.2000000000000028,20,hausdorff,1.0,0.0967741935483871,0.9032258064516129
E,1.2000000000000028,20,rmse,1.0,0.0967741935483871,0.9032258064516129
E,1.1000000000000028,20,mae,1.0,0.12903225806451613,0.8709677419354839
E,1.1000000000000028,20,hausdorff,1.0,0.12903225806451613,0.8709677419354839
E,1.1000000000000028,20,rmse,1.0,0.12903225806451613,0.8709677419354839
E,0.40000000000000213,15,mae,1.0,0.13709677419354838,0.8629032258064516
E,0.7000000000000024,15,mae,1.0,0.13709677419354838,0.8629032258064516
E,0.6000000000000023,15,mae,1.0,0.13709677419354838,0.8629032258064516
E,0.7000000000000024,15,rmse,1.0,0.13709677419354838,0.8629032258064516
E,0.7000000000000024,15,hausdorff,1.0,0.13709677419354838,0.8629032258064516
E,0.8000000000000025,15,mae,1.0,0.13709677419354838,0.8629032258064516
E,0.8000000000000025,15,hausdorff,1.0,0.13709677419354838,0.8629032258064516
E,0.6000000000000023,15,rmse,1.0,0.13709677419354838,0.8629032258064516
E,0.30000000000000204,15,mae,1.0,0.13709677419354838,0.8629032258064516
E,0.6000000000000023,15,hausdorff,1.0,0.13709677419354838,0.8629032258064516
E,0.5000000000000022,15,rmse,1.0,0.13709677419354838,0.8629032258064516
E,0.8000000000000025,15,rmse,1.0,0.13709677419354838,0.8629032258064516
E,0.30000000000000204,15,rmse,1.0,0.13709677419354838,0.8629032258064516
E,0.30000000000000204,15,hausdorff,1.0,0.13709677419354838,0.8629032258064516
E,0.5000000000000022,15,mae,1.0,0.13709677419354838,0.8629032258064516
E,0.40000000000000213,15,hausdorff,1.0,0.13709677419354838,0.8629032258064516
E,0.40000000000000213,15,rmse,1.0,0.13709677419354838,0.8629032258064516
E,0.5000000000000022,15,hausdorff,1.0,0.13709677419354838,0.8629032258064516
E,1.400000000000003,20,mse,1.0,0.13709677419354838,0.8629032258064516
E,1.0000000000000027,15,mse,1.0,0.14516129032258066,0.8548387096774194
E,0.30000000000000204,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,0.20000000000000195,15,hausdorff,1.0,0.14516129032258066,0.8548387096774194
E,0.6000000000000023,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,-0.49999999999999867,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,0.40000000000000213,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,-0.49999999999999867,15,rmse,1.0,0.14516129032258066,0.8548387096774194
E,1.300000000000003,20,mse,1.0,0.14516129032258066,0.8548387096774194
E,-0.09999999999999831,15,mae,1.0,0.14516129032258066,0.8548387096774194
E,0.10000000000000187,15,mae,1.0,0.14516129032258066,0.8548387096774194
E,0.10000000000000187,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,1.7763568394002505e-15,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,1.7763568394002505e-15,15,rmse,1.0,0.14516129032258066,0.8548387096774194
E,1.7763568394002505e-15,15,mae,1.0,0.14516129032258066,0.8548387096774194
E,1.7763568394002505e-15,15,hausdorff,1.0,0.14516129032258066,0.8548387096774194
E,0.10000000000000187,15,hausdorff,1.0,0.14516129032258066,0.8548387096774194
E,0.20000000000000195,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,0.20000000000000195,15,rmse,1.0,0.14516129032258066,0.8548387096774194
E,0.10000000000000187,15,rmse,1.0,0.14516129032258066,0.8548387096774194
E,0.8000000000000025,15,mse,1.0,0.14516129032258066,0.8548387096774194
E,0.9000000000000026,15,mse,1.0,0.14516129032258066,0.8548387096774194
E,1.0000000000000027,20,hausdorff,1.0,0.14516129032258066,0.8548387096774194
E,1.0000000000000027,20,mae,1.0,0.14516129032258066,0.8548387096774194
E,-0.09999999999999831,15,hausdorff,1.0,0.14516129032258066,0.8548387096774194
E,0.20000000000000195,15,mae,1.0,0.14516129032258066,0.8548387096774194
E,0.7000000000000024,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,0.7000000000000024,15,mse,1.0,0.14516129032258066,0.8548387096774194
E,0.5000000000000022,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,-0.49999999999999867,15,hausdorff,1.0,0.14516129032258066,0.8548387096774194
E,-0.2999999999999985,20,huber,1.0,0.14516129032258066,0.8548387096774194
E,-0.3999999999999986,15,mae,1.0,0.14516129032258066,0.8548387096774194
E,-0.3999999999999986,15,rmse,1.0,0.14516129032258066,0.8548387096774194
