Atk Average Speed,Vo Average Speed,Atk Entry Time,Atk Exit Time,AtK Sim Time,Vo Entry Time,Vo Exit Time,Vo Sim Time,Attacker Messages,Atk First Msg Time,Atk Last Msg Time,AtK Msg Duration,Total Msg Time < 100,MHID,Less than 100
9.803480392156862,13.696575342465753,926,1129,203,889,1034,145,33,967.000235369565,999.00024621997,32.00001085040503,7.000001979651984,h0,8
16.515619834710744,17.42182608695652,925,1045,120,889,1003,114,20,959.000246265421,978.000244229251,18.999997963830083,5.0000070275519874,h0,6
14.096056338028166,17.311826086956522,925,1066,141,889,1003,114,22,964.000240357362,985.000246262065,21.000005904703016,5.000006959327038,h0,6
10.480261780104714,19.903499999999998,925,1115,190,889,988,99,32,955.000243381045,986.000237195408,30.999993814362938,7.999993001561052,h0,9
8.967040358744395,13.599727891156464,925,1147,222,889,1035,146,42,970.000238336517,1011.000246198622,41.00000786210501,10.000000927729047,h0,11
12.783141025641024,11.488092485549133,926,1081,155,889,1061,172,32,983.000247330344,1014.00024126405,30.999993933706037,7.000001938373998,h0,8
16.59125,15.954079999999998,926,1045,119,889,1013,124,21,963.000245327034,983.000247200297,20.000001873263045,4.00000302490605,h0,5
9.8630198019802,17.234173913043477,926,1127,201,889,1003,114,31,960.000246380369,990.000236249941,29.999989869572005,5.999997978897909,h0,7
12.362173913043478,17.916306306306307,924,1084,160,889,999,110,31,956.000238379194,986.000241219601,30.000002840406978,7.99999299382705,h0,9
9.556153846153846,10.304352331606218,925,1132,207,889,1081,192,47,996.00023837999,1042.000240250846,46.000001870855954,11.999995974459921,h0,13
14.539343065693433,14.776268656716418,926,1062,136,889,1022,133,18,977.000236273651,994.000239224344,17.000002950692988,2.9999989007729937,h0,4
7.555606060606061,19.663069306930694,927,1190,263,889,989,100,26,959.000238306827,984.000247234697,25.00000892787,5.999998033074917,h0,7
7.182302158273381,16.004677419354838,926,1203,277,889,1012,123,33,970.000247381973,1002.000245258854,31.99999787688091,6.999989049876035,h0,8
15.225725190839697,17.46640350877193,927,1057,130,889,1002,113,28,956.000239260635,983.000243200668,27.000003940033025,6.000011084498055,h0,7
16.811949152542375,12.74579617834395,923,1040,117,889,1045,156,28,976.000244360369,1003.000235191282,26.999990830912907,6.000010950597016,h0,7
13.986293706293706,13.068627450980392,924,1066,142,889,1041,152,26,974.000245339374,999.000241233945,24.99999589457093,5.999997990775,h0,7
13.865486111111112,18.0481981981982,925,1068,143,889,999,110,28,952.00024432035,979.00023522497,26.99999090461995,7.000001969204959,h0,8
9.777024390243902,10.216410256410256,925,1129,204,889,1083,194,51,980.000239327689,1030.000244233253,50.00000490556397,13.999990996681959,h0,15
10.018799999999999,13.780551724137931,923,1122,199,889,1033,144,28,976.000244328754,1003.000235245667,26.99999091691302,5.99999795126098,h0,7
6.533366013071896,18.91304761904762,924,1229,305,889,993,104,32,958.000246368553,989.00024025835,30.999993889796997,7.0000019582769255,h0,8
13.882638888888888,10.617058823529412,925,1068,143,889,1075,186,40,975.000245359838,1014.000245264173,38.99999990433503,7.000001973234021,h0,8
10.04095,15.569140625,926,1125,199,889,1016,127,35,968.000239360858,1002.00024520847,34.00000584761199,8.00000597737494,h0,9
14.503985507246378,13.700689655172413,925,1062,137,889,1033,144,25,981.000243334611,1005.000235162731,23.99999182811996,4.999993939287037,h0,6
13.51783783783784,11.087555555555554,924,1071,147,889,1068,179,36,984.00024637152,1019.000243223588,34.999996852067966,8.999997046509975,h0,10
9.69019417475728,14.289352517985611,925,1130,205,889,1027,138,44,965.000244339051,1008.000247246855,43.000002907803946,10.999991997721963,h0,12
10.611957671957672,16.506446280991735,925,1113,188,889,1009,120,34,954.000239361411,987.000241260687,33.00000189927596,8.00000603234298,h0,9
9.927412935323382,12.995714285714287,926,1126,200,889,1042,153,29,982.000243353217,1010.000238208722,27.99999485550495,7.000001986776965,h0,8
10.762918918918919,20.285204081632653,925,1109,184,889,986,97,25,951.00024033087,975.000245260817,24.000004929946954,5.000006958131053,h0,6
9.553124999999998,10.27056701030928,926,1133,207,889,1082,193,43,977.00023636521,1019.00023520936,41.999998844150014,10.000001016298938,h0,11
14.952330827067668,11.106536312849164,924,1056,132,889,1067,178,34,970.000242373257,1003.000244256784,33.00000188352692,7.999992941718006,h0,9
16.80016806722689,8.023548387096774,925,1043,118,889,1136,247,32,983.000238315867,1014.000245256883,31.000006941015954,5.999997983896947,h0,7
7.5865779467680605,14.904925373134327,924,1186,262,889,1022,133,43,966.000239345142,1008.000238240019,41.99999889487708,12.000008995303006,h0,13
13.407986577181207,10.313144329896906,926,1074,148,889,1082,193,35,986.000246331226,1020.000239204115,33.99999287288904,8.000006050515026,h0,9
10.875380434782608,17.094224137931036,925,1108,183,889,1004,115,33,957.000238320319,989.000236201615,31.999997881296053,8.999997052227059,h0,10
9.617826086956521,18.747383177570093,925,1131,206,889,995,106,27,956.000247345885,982.00024722957,25.999999883685064,5.000007031317978,h0,6
9.919306930693068,18.02045045045045,925,1126,201,889,999,110,29,956.000247296313,984.000242242602,27.999994946289007,7.000002008512979,h0,8
8.375588235294117,10.361354166666667,925,1162,237,889,1080,191,46,1007.00024337668,1052.000241198379,44.99999782169891,11.00000499298585,h0,12
12.205365853658538,13.689109589041097,926,1089,163,889,1034,145,22,981.00023934074,1002.000245201226,21.000005860486,3.999989914453977,h0,5
15.007443609022557,17.064957264957265,925,1057,132,889,1005,116,25,957.000238282965,981.000243217046,24.00000493408095,6.00001096922108,h0,7
11.558313953488373,15.95192,926,1097,171,889,1013,124,27,961.00023733699,987.000237199975,25.999999862984964,4.9999940616820595,h0,6
12.282576687116563,18.47064814814815,925,1087,162,889,996,107,25,961.000241350058,985.000246191711,24.00000484165298,4.999993978426005,h0,6
12.196951219512195,17.544473684210523,926,1089,163,889,1002,113,22,958.000238373635,979.00024419203,21.000005818394925,4.000003015993002,h0,5
14.481459854014599,17.4740350877193,927,1063,136,889,1002,113,20,963.000241343688,982.000239206117,18.99999786242904,3.999989992213955,h0,5
11.768117647058823,17.914504504504503,925,1094,169,889,999,110,25,950.00023632543,974.000241244508,24.000004919077924,5.999997991296027,h0,7
13.765208333333334,13.356533333333333,924,1067,143,889,1038,149,30,969.00023830716,998.00023723115,28.999998923990006,5.999997976235022,h0,7
12.375925925925927,17.158965517241377,926,1087,161,889,1004,115,35,964.000236342995,998.000242260579,34.00000591758396,8.00000602775799,h0,9
9.38300469483568,16.353196721311477,925,1137,212,889,1010,121,38,959.00024632489,996.000238258303,36.99999193341307,7.000001945432928,h0,8
14.208285714285713,17.38530434782609,924,1063,139,889,1003,114,26,952.000235313563,977.000244225209,25.000008911645978,5.999997992186991,h0,7
8.797885462555065,15.394806201550388,925,1151,226,889,1017,128,28,971.000242318169,998.000246206257,27.00000388808803,5.9999979670629955,h0,7
13.139144736842104,14.2455,925,1076,151,889,1028,139,37,966.000235373028,1002.000236208498,36.00000083547002,8.999996979477942,h0,10
