Time,LOS,Probability
00:00:00,A,1.0
01:00:00,A,1.0
02:00:00,A,1.0
03:00:00,A,1.0
04:00:00,A,1.0
05:00:00,A,1.0
06:00:00,A,0.5517241379310345
06:00:00,B,0.4482758620689655
07:00:00,C,0.6896551724137931
07:00:00,A,0.27586206896551724
07:00:00,B,0.034482758620689655
08:00:00,C,0.7241379310344828
08:00:00,A,0.27586206896551724
09:00:00,B,0.6896551724137931
09:00:00,C,0.1724137931034483
09:00:00,A,0.13793103448275862
10:00:00,B,0.896551724137931
10:00:00,C,0.06896551724137931
10:00:00,A,0.034482758620689655
11:00:00,B,0.8620689655172413
11:00:00,C,0.13793103448275862
12:00:00,B,0.896551724137931
12:00:00,C,0.10344827586206896
13:00:00,B,0.896551724137931
13:00:00,C,0.10344827586206896
14:00:00,B,0.8275862068965517
14:00:00,C,0.1724137931034483
15:00:00,B,0.8620689655172413
15:00:00,A,0.10344827586206896
15:00:00,C,0.034482758620689655
16:00:00,B,0.9655172413793104
16:00:00,C,0.034482758620689655
17:00:00,B,0.7586206896551724
17:00:00,A,0.20689655172413793
17:00:00,C,0.034482758620689655
18:00:00,B,0.5862068965517241
18:00:00,A,0.41379310344827586
19:00:00,A,1.0
20:00:00,A,1.0
21:00:00,A,1.0
22:00:00,A,1.0
23:00:00,A,1.0
