LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,20.0,18.0,1.0,60.0,95.2381,23.8095,0.6452,0.8681,0.3,1.4503
B,900.0,15.5,20.0,12.5,1.0,84.0,95.2381,11.6586,0.6452,0.9215,0.2381,1.8321
C,900.0,15.5,20.0,10.0,1.0,100.0,95.2381,7.2588,0.6349,0.9487,0.2049,2.0935
D,900.0,15.5,18.5,19.0,2.0,139.0,90.4762,9.1229,0.5758,0.8504,0.176,2.8401
E,900.0,15.5,18.0,14.0,3.0,179.5,85.7143,6.6249,0.576,0.8855,0.15,3.3756
