a,window_size,loss_func,alpha,PD_mean,FAR_mean,Youden_index
0.10000000000000009,20,huber,0.5,0.9334274191606727,0.19511758948817276,0.7383098296724999
0.10000000000000009,20,huber,0.4,0.9077101271933807,0.17085183651160224,0.7368582906817784
0.20000000000000018,20,huber,0.5,0.9228040425372961,0.18625237826705776,0.7365516642702383
0.0,20,huber,0.4,0.914956880440134,0.1788706100106041,0.7360862704295299
0.0,20,huber,0.5,0.9399959617292153,0.2040884044902899,0.7359075572389254
-0.09999999999999987,20,huber,0.4,0.9177000261832797,0.1844750187107205,0.7332250074725593
0.20000000000000018,20,huber,0.4,0.8948443263275798,0.16250605520193429,0.7323382711256455
-0.09999999999999987,20,huber,0.5,0.9440176067508603,0.2118319011992113,0.732185705551649
-0.19999999999999996,20,huber,0.4,0.9202411517244052,0.1880817307233912,0.732159421001014
0.30000000000000027,20,huber,0.5,0.9079963861414044,0.17587469006023054,0.7321216960811738
0.20000000000000018,20,huber,0.6000000000000001,0.9315232803701703,0.1994768565193099,0.7320464238508604
0.10000000000000009,20,huber,0.6000000000000001,0.9406646945115844,0.21117579451612498,0.7294888999954594
-0.19999999999999996,20,huber,0.5,0.9475991363323899,0.21816078220073506,0.7294383541316548
0.30000000000000027,20,huber,0.6000000000000001,0.9184583453052352,0.18930593711318375,0.7291524081920514
0.30000000000000027,20,huber,0.4,0.8836942541775078,0.15455601925798382,0.729138234919524
0.40000000000000036,20,huber,0.5,0.8954350585800768,0.16678284387075584,0.728652214709321
0.20000000000000018,15,mse,0.2,0.9124301849134384,0.18478400406726395,0.7276461808461745
0.30000000000000027,15,mse,0.2,0.9020589727922264,0.17469757725978205,0.7273613955324443
0.40000000000000036,15,mse,0.2,0.8904658991991528,0.16335309590457145,0.7271128032945813
0.10000000000000009,15,mse,0.2,0.9209422099254635,0.1940863703270591,0.7268558395984044
0.0,15,mse,0.2,0.9285439415271951,0.2023035091799004,0.7262404323472947
0.40000000000000036,20,huber,0.6000000000000001,0.9033208994177894,0.177635666298304,0.7256852331194854
0.40000000000000036,20,huber,0.4,0.8715081069913606,0.14600071429746445,0.7255073926938962
-0.09999999999999987,15,mse,0.2,0.9343101752934289,0.2089838701064579,0.7253263051869709
0.5,20,huber,0.5,0.8799898926349109,0.15502400914632636,0.7249658834885846
0.0,20,huber,0.6000000000000001,0.9453861952330852,0.22071880194045768,0.7246673932926275
-0.19999999999999996,15,mse,0.2,0.9383101752934289,0.2147667004083548,0.7235434748850741
0.20000000000000018,15,hausdorff,0.2,0.9019200576138375,0.17977455440088624,0.7221455032129513
0.20000000000000018,15,mae,0.2,0.9019200576138375,0.17977455440088624,0.7221455032129513
0.20000000000000018,15,rmse,0.2,0.9019200576138375,0.17977455440088624,0.7221455032129513
0.40000000000000036,15,mae,0.2,0.8866829243767044,0.1647038221657435,0.7219791022109608
0.40000000000000036,15,hausdorff,0.2,0.8866829243767044,0.1647038221657435,0.7219791022109608
0.40000000000000036,15,rmse,0.2,0.8866829243767044,0.1647038221657435,0.7219791022109608
0.5,15,mse,0.2,0.8739332797717965,0.15195915858859158,0.7219741211832049
0.0,15,rmse,0.2,0.9143038959976758,0.19234106324189484,0.721962832755781
0.0,15,mae,0.2,0.9143038959976758,0.19234106324189484,0.721962832755781
0.0,15,hausdorff,0.2,0.9143038959976758,0.19234106324189484,0.721962832755781
0.30000000000000027,15,hausdorff,0.2,0.8953818180755979,0.17344521232463922,0.7219366057509586
0.30000000000000027,15,rmse,0.2,0.8953818180755979,0.17344521232463922,0.7219366057509586
0.30000000000000027,15,mae,0.2,0.8953818180755979,0.17344521232463922,0.7219366057509586
0.6000000000000001,20,huber,0.5,0.8653780600230783,0.14367194940969455,0.7217061106133837
0.5,20,huber,0.6000000000000001,0.8871891052859951,0.1655507785548113,0.7216383267311839
0.5,20,huber,0.4,0.8601845775795959,0.13874716787566846,0.7214374097039274
0.10000000000000009,15,hausdorff,0.2,0.9080542567480366,0.1866758056828953,0.7213784510651413
0.10000000000000009,15,mae,0.2,0.9080542567480366,0.1866758056828953,0.7213784510651413
0.10000000000000009,15,rmse,0.2,0.9080542567480366,0.1866758056828953,0.7213784510651413
0.40000000000000036,20,huber,0.7000000000000001,0.906756325103215,0.18545964893758796,0.7212966761656271
-0.09999999999999987,20,huber,0.6000000000000001,0.9513602212071112,0.23044102865575125,0.7209191925513599
-0.09999999999999987,15,mae,0.2,0.9187526694464493,0.19794043040085754,0.7208122390455918
-0.09999999999999987,15,rmse,0.2,0.9187526694464493,0.19794043040085754,0.7208122390455918
-0.09999999999999987,15,hausdorff,0.2,0.9187526694464493,0.19794043040085754,0.7208122390455918
0.5,20,huber,0.7000000000000001,0.8919876863345763,0.17150005322980094,0.7204876331047754
-0.19999999999999996,15,rmse,0.2,0.9230816737754536,0.2027800877374782,0.7203015860379753
-0.19999999999999996,15,hausdorff,0.2,0.9230816737754536,0.2027800877374782,0.7203015860379753
-0.19999999999999996,15,mae,0.2,0.9230816737754536,0.2027800877374782,0.7203015860379753
0.5,15,rmse,0.2,0.876436171129951,0.1566256628713371,0.7198105082586139
0.5,15,mae,0.2,0.876436171129951,0.1566256628713371,0.7198105082586139
0.5,15,hausdorff,0.2,0.876436171129951,0.1566256628713371,0.7198105082586139
0.6000000000000001,20,huber,0.6000000000000001,0.8707537432623979,0.15160480147639804,0.7191489417859998
0.30000000000000027,20,huber,0.7000000000000001,0.9167639008607908,0.19828110677999683,0.7184827940807941
0.20000000000000018,15,mse,0.30000000000000004,0.9104037517506417,0.19211937462869955,0.7182843771219422
0.20000000000000018,20,huber,0.7000000000000001,0.9298190956659855,0.21157337162994508,0.7182457240360405
0.30000000000000027,15,mse,0.30000000000000004,0.8956050504519404,0.17804238713262632,0.7175626633193141
0.10000000000000009,15,mse,0.30000000000000004,0.9213887204856104,0.20416472187381693,0.7172239986117934
-0.19999999999999996,20,huber,0.6000000000000001,0.9549677248146148,0.23793711385731012,0.7170306109573047
0.6000000000000001,20,huber,0.7000000000000001,0.8730699374168273,0.15604907336120716,0.7170208640556202
0.6000000000000001,15,mse,0.2,0.8567895808780976,0.14009709447009355,0.7166924864080041
0.10000000000000009,20,huber,0.7000000000000001,0.9405016353485253,0.22477643264546088,0.7157252027030644
0.40000000000000036,15,mse,0.30000000000000004,0.8796121135642666,0.16402547545420967,0.715586638110057
0.6000000000000001,15,hausdorff,0.2,0.8631268878206677,0.14784491568304953,0.7152819721376182
0.6000000000000001,15,rmse,0.2,0.8631268878206677,0.14784491568304953,0.7152819721376182
0.6000000000000001,15,mae,0.2,0.8631268878206677,0.14784491568304953,0.7152819721376182
0.0,15,mse,0.30000000000000004,0.930187061033951,0.2159098243137394,0.7142772367202116
0.7000000000000002,20,huber,0.6000000000000001,0.8519320795459974,0.13901221145274348,0.7129198680932539
-0.09999999999999987,15,mse,0.30000000000000004,0.9371466569935469,0.22531007875712675,0.7118365782364202
0.40000000000000036,20,huber,0.8,0.9030463683932584,0.191211577471543,0.7118347909217153
0.7000000000000002,20,huber,0.5,0.8434342804910634,0.13283097181444828,0.7106033086766151
0.5,15,mse,0.30000000000000004,0.8626063415584947,0.15231516339659626,0.7102911781618985
0.30000000000000027,20,huber,0.8,0.9149341750310649,0.20538554787778812,0.7095486271532767
0.6000000000000001,20,huber,0.4,0.8388267132217314,0.12949842202176443,0.709328291199967
0.0,20,huber,0.7000000000000001,0.9469013467482367,0.2376117051735167,0.70928964157472
0.20000000000000018,20,huber,0.8,0.9284464405433305,0.21917333176562714,0.7092731087777033
-0.19999999999999996,15,mse,0.30000000000000004,0.944224579071469,0.23539485322403553,0.7088297258474334
-0.2999999999999998,20,huber,0.5,0.9524880252212787,0.24447767132204695,0.7080103538992317
0.7000000000000002,15,rmse,0.2,0.8475381432319231,0.13953231003296143,0.7080058331989617
0.7000000000000002,15,mae,0.2,0.8475381432319231,0.13953231003296143,0.7080058331989617
0.7000000000000002,15,hausdorff,0.2,0.8475381432319231,0.13953231003296143,0.7080058331989617
-0.2999999999999998,20,huber,0.4,0.928044903528157,0.22047556264940948,0.7075693408787476
0.7000000000000002,20,huber,0.7000000000000001,0.8511732376253907,0.14365072006307003,0.7075225175623207
0.5,20,huber,0.8,0.8823744107213006,0.17500835921583618,0.7073660515054645
0.6000000000000001,20,huber,0.8,0.8646166830688362,0.15817354652062163,0.7064431365482146
0.7000000000000002,15,mse,0.2,0.8342907887345686,0.12789972726442628,0.7063910614701423
0.10000000000000009,20,huber,0.8,0.9370485328954229,0.2315776733514169,0.705470859544006
-0.09999999999999987,20,huber,0.7000000000000001,0.9522952861421761,0.24687208778454192,0.7054231983576341
0.6000000000000001,15,mse,0.30000000000000004,0.8423379486453648,0.1384299460373359,0.7039080026080289
0.30000000000000027,15,mae,0.30000000000000004,0.912771717118607,0.20916582043667659,0.7036058966819305
0.30000000000000027,15,rmse,0.30000000000000004,0.912771717118607,0.20916582043667659,0.7036058966819305
0.30000000000000027,15,hausdorff,0.30000000000000004,0.912771717118607,0.20916582043667659,0.7036058966819305
0.20000000000000018,15,mae,0.30000000000000004,0.921553463150353,0.21897937081892682,0.7025740923314262
0.20000000000000018,15,rmse,0.30000000000000004,0.921553463150353,0.21897937081892682,0.7025740923314262
