LOS,DepartureTime,Iteration,EntropyWin,Alpha_a,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,15.0,0.3,19.0,17.0,2.0,57.0,90.4762,21.3526,0.6667,0.9363,0.3474,1.45
B,900.0,15.5,15.0,0.5,19.0,16.0,2.0,80.0,90.4762,15.5607,0.6786,0.9479,0.2727,1.8203
C,900.0,15.5,15.0,0.3,19.0,19.0,1.0,75.0,95.0,19.2969,0.6667,0.9214,0.3324,1.7784
D,900.0,15.5,15.0,0.2,20.0,22.0,1.0,99.0,95.2381,17.9573,0.6333,0.94,0.2963,2.2207
E,900.0,15.0,15.0,0.6,20.0,16.0,1.0,137.5,95.2381,9.073,0.6792,0.9541,0.1881,2.82
