LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,16.9364,12.9576,3.9061,64.1545,80.7843,16.8976,0.6494,0.8464,0.3065,1.4237
B,900.0,15.5,17.2,13.5333,3.1667,93.7061,83.2271,13.2121,0.6589,0.8736,0.2538,1.9267
C,900.0,15.5,16.4727,13.2485,4.3697,119.8636,78.8946,10.9606,0.6347,0.857,0.2147,2.3752
D,900.0,15.5,13.9818,15.3848,6.9242,158.8455,66.9387,9.628,0.5286,0.7939,0.1703,3.0917
E,900.0,15.5,14.1333,12.9545,6.7667,186.4485,67.6414,7.1528,0.5618,0.8083,0.1412,3.4938
