LOS,DepartureTime,Iteration,Time,Speed,Acceleration,Jerk,Label
A,895,1,897,3.0799743527758,0.0,0.0,0
A,895,1,898,5.0228465337681,1.9428721809923,1.9428721809923,0
A,895,1,899,7.0217628058211,1.998916272053,0.056044091060700074,0
A,895,1,900,8.9464225070343,1.9246597012132,-0.07425657083979997,0
A,895,1,901,10.872234908077,1.9258124010428,0.001152699829599868,0
A,895,1,902,12.927969885131,2.0557349770539,0.12992257601110024,0
A,895,1,903,15.012974286857,2.0850044017262,0.02926942467229976,0
A,895,1,904,16.820042663976,1.8070683771186,-0.2779360246075999,0
A,895,1,905,17.272984554295,0.45294189031924,-1.35412648679936,0
A,895,1,906,16.801030686093,-0.47195386820249,-0.92489575852173,0
A,895,1,907,16.415169653016,-0.38586103307674,0.08609283512575,0
A,895,1,908,15.990524186033,-0.4246454669827,-0.03878443390595998,0
A,895,1,909,15.723642572978,-0.26688161305472,0.15776385392797998,0
A,895,1,910,15.504805415214,-0.21883715776437,0.048044455290350035,0
A,895,1,911,15.254050897087,-0.25075451812744,-0.031917360363069996,0
A,895,1,912,15.12164057099,-0.13241032609687,0.11834419203056998,0
A,895,1,913,15.134711330738,0.013070759748627,0.14548108584549702,0
A,895,1,914,14.97734873652,-0.15736259421851,-0.17043335396713702,0
A,895,1,915,14.917849429113,-0.059499307406803,0.097863286811707,0
A,895,1,916,14.865759268939,-0.052090160173874,0.007409147232929,0
A,895,1,917,14.823191811509,-0.042567457430014,0.009522702743860002,0
A,895,1,918,14.677868240712,-0.1453235707973,-0.10275611336728599,0
A,895,1,919,14.745961483499,0.068093242786995,0.21341681358429498,0
A,895,1,920,14.708298185549,-0.037663297949686,-0.105756540736681,0
A,895,1,921,14.776690404949,0.068392219399378,0.10605551734906399,0
A,895,1,922,14.629856342687,-0.14683406226147,-0.215226281660848,0
A,895,1,923,14.580109752189,-0.049746590498108,0.097087471763362,0
A,895,1,924,14.661724503826,0.081614751636609,0.131361342134717,0
A,895,1,925,14.726682405898,0.064957902072546,-0.016656849564063006,0
A,895,1,926,14.751846662819,0.025164256920421,-0.039793645152124996,0
A,895,1,927,14.681082304008,-0.070764358810576,-0.095928615730997,0
A,895,1,928,14.608937363671,-0.072144940336534,-0.001380581525958005,0
A,895,1,929,14.586170260735,-0.022767102936333,0.049377837400201,0
A,895,1,930,15.097551632001,0.51138137126594,0.534148474202273,0
A,895,1,931,17.014144207355,1.9165925753536,1.40521120408766,0
A,895,1,932,18.953085599781,1.9389413924259,0.022348817072300076,0
A,895,1,933,20.770618488455,1.8175328886742,-0.12140850375170009,0
A,895,1,934,22.530790614129,1.7601721256739,-0.05736076300029991,0
A,895,1,935,24.498401702609,1.9676110884804,0.20743896280649987,0
A,895,1,936,26.358821084629,1.8604193820199,-0.10719170646049991,0
A,895,1,937,27.173565624228,0.81474453959895,-1.0456748424209499,0
A,895,1,938,26.151749963993,-1.0218156602346,-1.8365601998335501,0
A,895,1,939,24.051560701007,-2.1001892629859,-1.0783736027513,0
A,895,1,940,22.128776546535,-1.9227841544721,0.17740510851379998,0
A,895,1,941,20.332840905153,-1.7959356413818,0.1268485130903001,0
A,895,1,942,18.912724117576,-1.4201167875776,0.3758188538042,0
A,895,1,943,17.576915335531,-1.3358087820447,0.08430800553289997,0
A,895,1,944,16.330250978526,-1.2466643570052,0.08914442503949993,0
A,895,1,945,15.393025821005,-0.93722515752115,0.3094391994840501,0
A,895,1,946,14.694877177369,-0.6981486436357,0.23907651388545004,0
A,895,1,947,14.012738939554,-0.68213823781553,0.016010405820169993,0
A,895,1,948,13.401987788763,-0.61075115079045,0.07138708702508001,0
A,895,1,949,13.027333143156,-0.37465464560699,0.23609650518345993,0
