h0,61.9918,908.000241206782,1
h0,72.1669,909.000245240723,1
h0,79.4513,910.000236265021,1
h0,86.2944,911.000240287847,1
h0,93.3081,912.000244311242,1
h0,100.31,913.000235334597,1
h0,107.145,914.000239357397,1
h0,113.988,915.000243380222,1
h0,120.722,916.000234402684,1
h0,127.501,917.000238425299,1
h0,135.078,918.000242450572,1
h0,144.791,919.000246482972,1
h0,156.057,920.000237520549,1
h0,165.727,921.000241552806,1
h0,174.037,922.000245580526,1
h0,181.582,923.000236605692,1
h0,188.448,924.000240628595,1
h0,194.711,925.000244649485,1
h0,200.407,926.000235668485,1
h0,205.67,927.000239686041,1
h0,210.365,928.000243701701,1
h0,214.806,929.000234716515,1
h0,218.949,930.000238730335,1
h0,222.842,931.000242743321,1
h0,226.556,932.000246755708,1
h0,230.07,933.000237767432,1
h0,233.397,934.000241778527,1
h0,236.636,935.000245789334,1
h0,239.739,936.000236799683,1
h0,242.7,937.00024080956,1
h0,245.621,938.000244819303,1
h0,248.465,939.000235828789,1
h0,251.278,940.000239838173,1
h0,254.098,941.000243847578,1
h0,256.824,942.000234856674,1
h0,259.479,943.000238865528,1
h0,262.129,944.000242874368,1
h0,264.763,945.000246883153,1
h0,267.365,946.000237891834,1
h0,269.954,947.00024190047,1
h0,272.521,948.000245909032,1
h0,275.028,949.000236917395,1
h0,277.579,950.000240925903,1
h0,279.943,951.00024493379,1
h0,280.861,952.000235936852,1
h0,281.166,953.00023993787,1
h0,282.958,954.000243943845,1
h0,287.196,955.000234957982,1
h0,292.06,956.000238974206,1
h0,294.94,957.000242983814,1
h0,296.667,958.000246989574,1
h0,297.663,959.000237992896,1
h0,298.744,960.000241996504,1
h0,301.035,961.000246004145,1
h0,304.43,962.00023701547,1
h0,308.758,963.000241029905,1
h0,313.259,964.00024504492,1
h0,317.708,965.000236059761,1
h0,321.974,966.000240073989,1
h0,326.05,967.000244087587,1
h0,329.806,968.000235100114,1
h0,333.284,969.000239111715,1
h0,336.435,970.000243122227,1
h0,339.196,971.000247131435,1
h0,342.906,972.00023814381,1
h0,348.8,973.000242163472,1
h0,355.158,974.000246184679,1
h0,361.709,975.000237206532,1
h0,367.799,976.000241226844,1
h0,372.521,977.000245242596,1
h0,376.1,978.000236254534,1
h0,378.685,979.000240263159,1
h0,380.411,980.000244268915,1
h0,381.583,981.000235272823,1
h0,382.289,982.000239275179,1
h0,382.656,983.000243276402,1
h0,382.771,984.000247276786,1
h0,382.634,985.000238276328,1
h0,382.092,986.000242274522,1
h0,380.85,987.000246270378,1
h0,379.007,988.000237264232,1
h0,376.616,989.000241256256,1
h0,373.829,990.000245246961,1
h0,370.706,991.000236236541,1
h0,367.309,992.000240225211,1
h0,363.703,993.000244213184,1
h0,359.929,994.000235200595,1
h0,356.082,995.000239187762,1
h0,353.347,996.000243178637,1
h0,352.49,997.000247175779,1
h0,353.581,998.000238179419,1
h0,356.589,999.000242189453,1
h0,361.7,1000.0002462065,1
h0,368.944,1001.000237230665,1
h0,378.082,1002.000241261146,1
h0,389.176,1003.000245298151,1
