LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,19.0,10.0,2.0,63.0,90.4762,11.6284,0.7338,0.9229,0.3,1.3993
B,900.0,15.5,19.0,7.0,2.0,83.0,90.4762,7.5949,0.8085,0.9489,0.2417,1.7886
C,900.0,15.5,19.0,10.0,2.0,80.0,90.4762,9.7119,0.7429,0.9319,0.2571,1.7899
D,900.0,15.5,19.0,11.0,2.0,108.5,90.4762,8.2802,0.6969,0.9214,0.2077,2.3043
E,900.0,15.0,15.0,4.0,5.0,150.5,75.0,2.6201,0.7755,0.8571,0.12,2.9535
