Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles
00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
56.47951705,52.40176986,54.96492523,55.34551497,53.34625378,52.91595436,57.369631,56.90826304,58.81276515,54.07791813,52.82430214,51.90311963,51.94816903,51.35165287,52.24176683,49.60404693,47.32982907,50.15551369,51.89069221,52.03516097,53.39441003,55.1435694,55.80532951,56.49039104,76,83,67,65,25,24,31,80,124,303,699,827,975,1003,1085,1143,1014,661,425,327,209,123,108,64
53.07440397,52.48410152,53.61810359,56.44689507,56.66748177,56.69078319,55.14822968,53.47518826,52.22623255,49.40520821,48.39082005,38.41315522,46.9305982,43.61869077,47.38264561,47.8735287,46.70379779,49.04481303,51.90001278,53.49072253,52.59750172,53.83558344,56.28067833,56.93933159,32,27,38,33,58,113,191,348,436,672,1081,1191,1242,1124,1093,939,834,629,416,250,196,151,80,89
55.95290512,53.15362877,53.15207534,55.26162989,55.37969038,55.94358456,55.24298876,53.70820239,52.37070131,49.36792595,49.46268503,50.23007821,48.70927269,48.84908117,50.05764776,48.8055852,41.61321587,48.52752167,52.16409545,54.02820845,53.69577497,54.07015099,53.06352997,58.22090927,42,43,41,55,68,114,261,441,536,648,890,926,925,968,893,995,927,660,392,260,182,136,139,99
55.1606571,55.96067226,52.39089587,55.28027102,55.18240508,54.38394335,54.64802602,52.83517613,52.77303903,51.4774805,50.14619313,49.40210136,47.86886841,47.35934419,47.46963755,47.09370809,45.61795196,49.17685437,51.47437364,53.26236869,55.0534706,54.96958552,54.13539495,56.06319847,67,60,46,83,76,125,278,447,552,662,793,869,932,951,1092,1023,943,654,469,275,159,164,94,80
54.65890002,57.59953827,56.59602411,55.43095348,56.90360275,55.23832847,55.23677505,50.81572038,52.03360754,50.5966871,49.04170618,50.46309234,49.41763563,48.19198133,49.88211045,47.20400144,47.07817382,48.19353476,49.90696529,51.3532063,52.93304206,54.33889395,55.05191717,56.97506042,69,63,49,63,76,106,236,475,508,749,912,931,922,930,1084,980,916,678,495,319,190,155,133,98
55.302019,55.39056437,54.91987584,56.66748177,54.3357871,55.83329121,54.71482341,52.09419121,51.11242503,50.84989579,50.32949757,50.93844115,50.23629192,51.02543309,49.81997335,49.91162558,46.99584216,49.38346023,53.36644834,54.73967825,56.63796665,56.61311181,55.8783406,57.73779332,34,34,54,68,116,138,302,641,669,683,679,688,733,771,846,867,906,674,379,174,140,108,88,88
53.29965095,53.40839088,54.06859757,58.68227724,56.28067833,53.55907335,53.00449973,51.23980609,50.68212561,51.76797144,51.08601677,50.70698046,51.76641801,50.67280505,50.99902482,50.09026974,47.92168495,50.33415786,52.44837268,54.28141713,54.78006736,56.19213296,57.08224692,54.15869636,40,28,49,38,88,167,362,648,692,591,626,696,746,810,802,928,920,686,404,244,205,109,95,62
54.09655926,49.41918906,57.74400703,54.59986977,54.02354817,53.72684352,54.39326391,50.92135345,51.73690289,52.02118012,51.71204805,50.24250563,51.0766962,49.58851265,50.14929998,50.25027277,48.43120917,51.64059038,51.6809795,53.94587679,54.6526863,51.00989882,51.03630709,51.80214684,55,53,78,74,89,122,326,632,689,607,665,706,805,843,931,881,926,675,426,200,189,123,81,86
53.63519129,54.79560164,48.01178374,51.57534643,56.35679627,55.46668232,54.3078254,51.70428091,51.86117709,51.4153434,50.75669014,51.42155711,51.70117406,49.81220621,49.6925923,47.8906164,47.74770107,50.22075765,52.65031826,54.24724173,53.3307195,52.83051585,54.2907377,52.58662773,60,48,59,92,125,123,356,590,685,670,657,767,784,780,869,978,956,702,423,288,141,156,109,77
