Time,LOS,Probability
00:00:00,A,1.0
01:00:00,A,1.0
02:00:00,A,1.0
03:00:00,A,1.0
04:00:00,A,1.0
05:00:00,A,1.0
06:00:00,A,1.0
07:00:00,C,0.45161290322580644
07:00:00,A,0.3225806451612903
07:00:00,B,0.22580645161290322
08:00:00,C,0.5483870967741935
08:00:00,A,0.3225806451612903
08:00:00,B,0.12903225806451613
09:00:00,B,0.41935483870967744
09:00:00,C,0.3225806451612903
09:00:00,A,0.25806451612903225
10:00:00,B,0.8709677419354839
10:00:00,A,0.06451612903225806
10:00:00,C,0.06451612903225806
11:00:00,B,0.9354838709677419
11:00:00,C,0.06451612903225806
12:00:00,B,0.9032258064516129
12:00:00,C,0.06451612903225806
12:00:00,A,0.03225806451612903
13:00:00,B,0.9354838709677419
13:00:00,A,0.06451612903225806
14:00:00,B,0.8709677419354839
14:00:00,A,0.12903225806451613
15:00:00,B,0.8387096774193549
15:00:00,A,0.16129032258064516
16:00:00,B,0.6774193548387096
16:00:00,A,0.25806451612903225
16:00:00,C,0.06451612903225806
17:00:00,B,0.6451612903225806
17:00:00,A,0.3548387096774194
18:00:00,A,0.8387096774193549
18:00:00,B,0.16129032258064516
19:00:00,A,1.0
20:00:00,A,1.0
21:00:00,A,1.0
22:00:00,A,1.0
23:00:00,A,1.0
