Atk Average Speed,Vo Average Speed,Atk Entry Time,Atk Exit Time,AtK Sim Time,Vo Entry Time,Vo Exit Time,Vo Sim Time,Attacker Messages,Atk First Msg Time,Atk Last Msg Time,AtK Msg Duration,Total Msg Time < 100,MHID,Less than 100
17.541491228070175,14.736148148148148,901,1014,113,909,1043,134,23,953.000240382732,975.000237173854,21.99999679112193,5.00000703613,h0,6
21.005684210526315,15.6803125,901,995,94,909,1036,127,21,951.000245367674,971.000247174423,20.00000180674897,4.000003007467058,h0,5
18.213363636363635,13.444527027027027,901,1010,109,909,1056,147,21,948.000246341935,968.000235239864,19.999988897928915,4.999993996916032,h0,6
18.16,18.19272727272727,901,1010,109,909,1018,109,20,951.000245376458,970.000243250491,18.999997874033056,3.999989976953998,h0,5
19.323883495145633,20.43577319587629,901,1003,102,909,1005,96,17,949.000237291526,965.000236130189,15.999998838663032,2.9999989901939443,h0,4
15.390615384615387,9.51066985645933,901,1030,129,909,1117,208,35,960.000242356163,994.000235213139,33.999992856976064,7.999992962158899,h0,9
14.501304347826085,17.25103448275862,901,1038,137,909,1024,115,22,961.000246293135,982.000239171849,20.99999287871401,4.0000030226199215,h0,5
17.772410714285716,20.014949494949498,901,1012,111,909,1007,98,16,956.000239338741,971.000247114168,15.00000777542698,2.9999991163309687,h0,4
21.156489361702125,14.252714285714285,901,994,93,909,1048,139,20,947.000242306155,966.000240250952,18.999997944796974,4.000003003254051,h0,5
25.75025641025641,17.62867256637168,901,978,77,909,1021,112,20,944.00024328641,963.000241256064,18.999997969654032,4.000003012557045,h0,5
19.702673267326734,21.355376344086018,901,1001,100,909,1001,92,19,947.000242299465,965.000236122112,17.99999382264707,4.000002962639087,h0,5
19.160288461538464,16.415537190082645,901,1004,103,909,1029,120,22,943.000239353313,964.000245178531,21.000005825218068,3.999990033129052,h0,5
23.909156626506025,12.592452830188678,901,983,82,909,1067,158,23,952.000236336506,974.000246255595,22.000009919089052,4.999993927627997,h0,6
22.68056818181818,9.68927536231884,901,988,87,909,1115,206,25,946.000238271133,970.000243191317,24.000004920184097,7.000001941925007,h0,8
16.573666666666668,16.14967479674797,901,1020,119,909,1031,122,26,950.000241360147,975.00023722167,24.99999586152296,4.999993965442059,h0,6
7.8529527559055134,16.026935483870965,901,1154,253,909,1032,123,31,959.000238337578,989.000241227362,30.000002889784014,5.999997982312038,h0,7
18.228165137614678,16.70966386554622,901,1009,108,909,1027,118,17,947.000242264965,963.000241205705,15.999998940740056,2.9999988648349927,h0,4
18.007567567567566,12.730254777070064,901,1011,110,909,1065,156,22,947.000242380612,968.000235229907,20.99999284929504,4.000002943917025,h0,5
18.18935779816514,16.431803278688527,901,1009,108,909,1030,121,21,958.000247373549,978.000236147386,19.999988773837003,4.000002979616056,h0,5
16.720336134453785,19.37368932038835,901,1019,118,909,1011,102,23,947.000242260146,969.000239258886,21.999996998740016,5.000006953888942,h0,6
18.752242990654207,18.01405405405405,901,1007,106,909,1019,110,23,951.000245287112,973.000242155853,21.99999686874105,4.999993897171066,h0,6
19.33631067961165,18.063963963963964,901,1003,102,909,1019,110,17,959.000238324831,975.000237199814,15.99999887498302,2.9999989439800174,h0,4
7.229236363636363,16.0048,901,1175,274,909,1033,124,43,971.000247378397,1013.000246222034,41.999998843636945,11.00000500189799,h0,12
19.52058823529412,18.24880733944954,901,1002,101,909,1017,108,21,949.000237360909,969.000239204964,20.000001844055078,3.999989977739915,h0,5
17.055213675213675,16.769831932773105,901,1017,116,909,1027,118,17,960.000242289441,976.000241221872,15.999998932431026,2.9999990864780557,h0,4
18.89761904761905,7.878888888888889,901,1005,104,909,1160,251,29,957.000243361163,985.000238260396,27.999994899233002,6.000010920520026,h0,7
21.633152173913047,18.061,901,992,91,909,1018,109,21,944.000243280296,964.000245242786,20.000001962490046,4.000002963486054,h0,5
20.766562499999996,12.10381818181818,901,996,95,909,1073,164,27,950.000241296538,976.000241183762,25.99999988722402,7.000002028958079,h0,8
15.041578947368423,13.157697368421053,901,1033,132,909,1060,151,35,963.000241318607,997.000247230785,34.00000591217804,7.999993059955955,h0,9
22.58943181818182,18.59018691588785,901,988,87,909,1015,106,16,943.000239304565,958.000247131855,15.000007827290005,4.00000298649104,h0,5
20.471836734693877,14.811925925925927,901,998,97,909,1043,134,26,949.000237299107,974.000246252314,25.000008953207043,5.999997933089048,h0,7
