LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,16.8818,11.4848,3.2667,68.897,81.9993,14.9107,0.6841,0.8803,0.2957,1.5389
B,900.0,15.5,17.5121,11.0,3.0909,96.4727,84.614,11.1254,0.707,0.8953,0.2401,1.9843
C,900.0,15.5,18.4818,12.7576,2.2212,91.1909,89.3934,13.3405,0.7282,0.9094,0.2669,1.9939
D,900.0,15.5,16.797,13.3182,4.0576,130.9636,80.6017,10.4927,0.6648,0.87,0.2047,2.6397
E,899.7143,15.2143,12.8474,8.9416,7.1169,157.7338,61.7633,5.6262,0.5651,0.7878,0.1283,2.9676
