Atk Average Speed,Vo Average Speed,Atk Entry Time,Atk Exit Time,AtK Sim Time,Vo Entry Time,Vo Exit Time,Vo Sim Time,Attacker Messages,Atk First Msg Time,Atk Last Msg Time,AtK Msg Duration,Total Msg Time < 100,MHID,Less than 100
20.2480612244898,6.533606557377049,901,998,97,917,1221,304,29,960.000242313557,988.000237253348,27.99999493979101,6.999988976575992,h0,8
20.700520833333332,14.423093525179855,901,996,95,917,1055,138,23,954.000244295284,976.000241199492,21.999996904208047,4.999993994541001,h0,6
19.646274509803924,11.13782122905028,901,1002,101,917,1095,178,18,968.00023529661,985.000238141777,17.000002845167046,4.000002994741976,h0,5
19.84683168316832,6.835876288659793,901,1001,100,917,1207,290,28,963.000241308946,990.000245231776,27.000003922830047,5.999998035870021,h0,7
17.872767857142858,9.71980487804878,901,1012,111,917,1121,204,26,971.000247303888,996.000243246353,24.99999594246492,5.0000070233760425,h0,6
21.176914893617024,8.940758928571428,901,994,93,917,1140,223,25,964.000245328823,988.000237174657,23.99999184583396,5.999998046169026,h0,7
18.065765765765764,6.521405228758169,901,1011,110,917,1222,305,38,960.000242383221,997.000247201337,37.00000481811594,8.000006039294021,h0,9
21.52215053763441,14.48144927536232,901,993,92,917,1054,137,23,952.000236293065,974.000246233826,22.00000994076106,5.999998073968072,h0,7
18.96952380952381,7.977689243027887,901,1005,104,917,1167,250,25,956.000239357889,980.000244261267,24.000004903378,4.999993958290929,h0,6
19.958499999999997,6.927700348432056,901,1000,99,917,1203,286,32,955.000235345424,986.000242257085,31.00000691166099,8.000006011572964,h0,9
21.137765957446806,11.946287425149702,901,994,93,917,1083,166,24,956.0002393699,979.000240242221,23.00000087232104,5.999997996418074,h0,7
16.984102564102564,11.799526627218935,901,1017,116,917,1085,168,30,966.00024037599,995.000239245059,28.99999886906903,7.000001977439979,h0,8
18.222272727272728,12.640632911392403,901,1010,109,917,1074,157,25,956.00023938067,980.00024421847,24.00000483780002,5.000006966272963,h0,6
19.82138613861386,7.223563636363637,901,1001,100,917,1191,274,26,971.000247353853,996.00024320437,24.999995850517053,5.999998001831045,h0,7
19.60156862745098,8.240534979423868,901,1002,101,917,1159,242,29,958.000247382127,986.000242196882,27.99999481475504,7.000001985550057,h0,8
21.665869565217392,10.497578947368421,901,992,91,917,1106,189,22,954.000244352023,975.000237253794,20.999992901771066,4.999994005144913,h0,6
17.84982142857143,13.10046052631579,901,1012,111,917,1068,151,23,958.000247312944,980.000244174472,21.99999686152796,4.9999939899599894,h0,6
14.676029411764706,12.635126582278481,901,1036,135,917,1074,157,26,960.000242328295,985.000238261138,24.99999593284292,4.000002984295975,h0,5
20.06464646464646,12.05620481927711,901,999,98,917,1082,165,24,958.000247332287,981.000235248526,22.99998791623898,5.0000069531739655,h0,6
22.894827586206894,10.531534391534395,901,987,86,917,1105,188,24,952.000236273761,975.000237251462,23.000000977701006,4.999994018820985,h0,6
18.50898148148148,11.522138728323698,901,1008,107,917,1089,172,20,955.000235320113,974.000246156842,19.00001083672896,5.000006997127002,h0,6
14.85089552238806,8.053104838709677,901,1034,133,917,1164,247,30,979.000240359247,1008.000239213816,28.99999885456907,7.0000020374400265,h0,8
16.418360655737708,10.238564102564103,901,1022,121,917,1111,194,32,972.000238381782,1003.000245218887,31.000006837105047,5.999997975193992,h0,7
19.466274509803924,10.330932642487046,901,1002,101,917,1109,192,25,960.000242353614,984.000247223214,24.000004869600048,4.999993980614022,h0,6
22.633181818181818,6.077896341463415,901,988,87,917,1244,327,25,961.00024636454,985.000238175387,23.999991810847064,4.999993931704012,h0,6
23.038720930232557,8.653826086956522,901,986,85,917,1146,229,25,951.000245351606,975.000237190433,23.999991838826986,4.99999396953001,h0,6
15.502812500000001,9.660966183574882,901,1028,127,917,1123,206,28,982.000239334856,1009.000243215527,27.000003880670988,5.999997940409912,h0,7
