a,window_size,loss_func,alpha,PD_mean,FAR_mean,Youden_index
0.10000000000000009,20,huber,0.4,0.7669151425785959,0.18645122028498634,0.5804639222936097
0.0,20,huber,0.4,0.7702635135059143,0.1917531360618248,0.5785103774440894
0.20000000000000018,20,huber,0.4,0.7571924077111243,0.17951432303575232,0.577678084675372
-0.09999999999999987,20,huber,0.4,0.7726314788738796,0.19628025233081414,0.5763512265430655
0.30000000000000027,20,huber,0.4,0.7459605669840682,0.17069080855254487,0.5752697584315234
0.40000000000000036,20,huber,0.4,0.7372433787585069,0.16222792831818628,0.5750154504403207
0.30000000000000027,20,huber,0.5,0.766518079956653,0.191915720678407,0.574602359278246
-0.19999999999999996,20,huber,0.4,0.7742855192779201,0.20000061302325683,0.5742849062546633
0.5,20,huber,0.4,0.7276463328318803,0.15446098812038436,0.573185344711496
0.20000000000000018,20,huber,0.5,0.7734824685092768,0.20125813279762927,0.5722243357116475
0.40000000000000036,20,huber,0.5,0.7543536517922248,0.18229593481579978,0.572057716976425
0.20000000000000018,15,hausdorff,0.2,0.760855045013362,0.189442764355176,0.571412280658186
0.20000000000000018,15,mae,0.2,0.760855045013362,0.189442764355176,0.571412280658186
0.20000000000000018,15,rmse,0.2,0.760855045013362,0.189442764355176,0.571412280658186
0.30000000000000027,15,mae,0.2,0.7549020881261945,0.18375252711211354,0.571149561014081
0.30000000000000027,15,hausdorff,0.2,0.7549020881261945,0.18375252711211354,0.571149561014081
0.30000000000000027,15,rmse,0.2,0.7549020881261945,0.18375252711211354,0.571149561014081
0.40000000000000036,15,rmse,0.2,0.7471793683951016,0.17608816673568461,0.571091201659417
0.40000000000000036,15,hausdorff,0.2,0.7471793683951016,0.17608816673568461,0.571091201659417
0.40000000000000036,15,mae,0.2,0.7471793683951016,0.17608816673568461,0.571091201659417
0.10000000000000009,20,huber,0.5,0.7808842874505695,0.21038064356615288,0.5705036438844167
0.5,20,huber,0.5,0.7406507888396433,0.17068148310057285,0.5699693057390705
0.10000000000000009,15,rmse,0.2,0.7657838828593825,0.1958700516223406,0.5699138312370419
0.10000000000000009,15,mae,0.2,0.7657838828593825,0.1958700516223406,0.5699138312370419
0.10000000000000009,15,hausdorff,0.2,0.7657838828593825,0.1958700516223406,0.5699138312370419
0.5,15,mae,0.2,0.7374321325311335,0.16847996417870068,0.5689521683524328
0.5,15,hausdorff,0.2,0.7374321325311335,0.16847996417870068,0.5689521683524328
0.5,15,rmse,0.2,0.7374321325311335,0.16847996417870068,0.5689521683524328
0.0,15,hausdorff,0.2,0.7694239907578636,0.2008329941182465,0.5685909966396171
0.0,15,mae,0.2,0.7694239907578636,0.2008329941182465,0.5685909966396171
0.0,15,rmse,0.2,0.7694239907578636,0.2008329941182465,0.5685909966396171
0.20000000000000018,15,huber,0.4,0.711472018956328,0.14310287641906222,0.5683691425372657
0.10000000000000009,15,huber,0.4,0.7142137216980308,0.14595947183144065,0.5682542498665901
0.0,15,huber,0.4,0.7166080218423309,0.14840911723546604,0.5681989046068648
0.0,20,huber,0.5,0.7868060995565921,0.21874752285182075,0.5680585767047713
0.6000000000000001,20,huber,0.4,0.7155167203328616,0.1475606305157038,0.5679560898171578
-0.09999999999999987,15,huber,0.4,0.7188198358125181,0.15116407692631395,0.5676557588862041
-0.19999999999999996,15,huber,0.4,0.7195745255672078,0.1520754506667963,0.5674990749004115
0.40000000000000036,20,huber,0.6000000000000001,0.7603298549705811,0.19293317209900437,0.5673966828715767
0.30000000000000027,15,huber,0.4,0.7064323621047517,0.1394355414388918,0.5669968206658599
0.6000000000000001,15,mae,0.2,0.7274915088013174,0.16051774634779595,0.5669737624535215
0.6000000000000001,15,rmse,0.2,0.7274915088013174,0.16051774634779595,0.5669737624535215
0.6000000000000001,15,hausdorff,0.2,0.7274915088013174,0.16051774634779595,0.5669737624535215
0.30000000000000027,20,huber,0.6000000000000001,0.770025177262512,0.20311613205665224,0.5669090452058597
-0.09999999999999987,15,rmse,0.2,0.7725661263999992,0.20568182247557487,0.5668843039244243
-0.09999999999999987,15,mae,0.2,0.7725661263999992,0.20568182247557487,0.5668843039244243
-0.09999999999999987,15,hausdorff,0.2,0.7725661263999992,0.20568182247557487,0.5668843039244243
-0.19999999999999996,15,rmse,0.2,0.7751346689685418,0.2091964055213991,0.5659382634471427
-0.19999999999999996,15,hausdorff,0.2,0.7751346689685418,0.2091964055213991,0.5659382634471427
-0.19999999999999996,15,mae,0.2,0.7751346689685418,0.2091964055213991,0.5659382634471427
0.20000000000000018,20,huber,0.6000000000000001,0.7783325179813358,0.21265853954096503,0.5656739784403708
0.40000000000000036,20,huber,0.7000000000000001,0.763433791969255,0.19832030596244193,0.565113486006813
-0.09999999999999987,20,huber,0.5,0.7883675790128084,0.22342900784488576,0.5649385711679227
0.10000000000000009,15,mse,0.2,0.7698882819237448,0.20519068647744854,0.5646975954462963
0.6000000000000001,20,huber,0.5,0.7252590474697146,0.16082004803968636,0.5644389994300283
