LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,20.0,18.0,1.0,72.5,95.2381,18.9189,0.6356,0.9066,0.2944,1.526
B,900.0,15.5,20.0,20.0,1.0,96.0,95.2381,12.2799,0.625,0.9414,0.2098,1.8845
C,900.0,15.5,20.0,21.0,1.0,102.0,95.2381,12.5245,0.6154,0.9043,0.2,2.0088
D,900.0,15.5,18.0,21.0,1.0,128.0,95.0,10.2941,0.5882,0.8791,0.1729,2.3733
E,900.0,15.5,0.0,25.0,0.0,158.5,0.0,14.7368,0.0,0.8888,0.16,2.7559
