LOS,a,window_size,loss_func,alpha,PD_median,FAR_median,Youden_index_median
D,0.7000000000000002,20,huber,0.4,0.9511904761904761,0.12078422219628895,0.8304062539941872
D,0.8000000000000003,20,huber,0.5,0.95,0.12359550561797752,0.8264044943820225
D,-0.19999999999999996,20,huber,0.30000000000000004,0.9523809523809523,0.12630613384382228,0.82607481853713
D,-0.09999999999999987,20,huber,0.30000000000000004,0.9523809523809523,0.12630613384382228,0.82607481853713
D,0.0,20,huber,0.30000000000000004,0.9523809523809523,0.12630613384382228,0.82607481853713
D,0.10000000000000009,20,huber,0.30000000000000004,0.9511904761904761,0.12630613384382228,0.8248843423466539
D,1.2000000000000002,20,huber,0.4,0.9,0.07531512605042016,0.8246848739495799
D,0.8000000000000003,20,huber,0.6000000000000001,0.95,0.12793235133660663,0.8220676486633933
D,1.2000000000000002,20,huber,0.5,0.9,0.07797537619699042,0.8220246238030096
D,0.6000000000000001,20,huber,0.4,0.9523809523809523,0.13157894736842105,0.8208020050125313
D,1.1,20,huber,0.4,0.9047619047619048,0.08534922675392466,0.8194126780079801
D,1.2000000000000002,20,huber,0.7000000000000001,0.9,0.08080808080808081,0.8191919191919192
D,0.7000000000000002,20,huber,0.5,0.9523809523809523,0.13525492631697816,0.8171260260639741
D,1.2000000000000002,20,huber,0.6000000000000001,0.9,0.08526675932855768,0.8147332406714424
D,1.1,20,huber,0.5,0.9047619047619048,0.09090909090909091,0.8138528138528138
D,0.5,20,huber,0.4,0.9523809523809523,0.13943957300800608,0.8129413793729463
D,0.7000000000000002,20,huber,0.6000000000000001,0.9523809523809523,0.13986899563318778,0.8125119567477646
D,0.7000000000000002,20,huber,0.7000000000000001,0.9523809523809523,0.13988939307997733,0.8124915593009749
D,1.1,20,huber,0.7000000000000001,0.9047619047619048,0.09296388011271454,0.8117980246491903
D,-0.2999999999999998,20,huber,0.30000000000000004,0.9523809523809523,0.1411219725707616,0.8112589798101908
D,1.1,20,huber,0.6000000000000001,0.9047619047619048,0.09574468085106383,0.809017223910841
D,0.6000000000000001,20,huber,0.5,0.9523809523809523,0.14381744604316546,0.8085635063377868
D,0.7000000000000002,20,huber,0.8,0.9523809523809523,0.14497661667472989,0.8074043357062224
D,1.0,20,huber,0.4,0.9047619047619048,0.09742594190394017,0.8073359628579646
D,0.40000000000000036,20,huber,0.4,0.9523809523809523,0.14536075189032577,0.8070202004906266
D,1.1,20,huber,0.8,0.9047619047619048,0.09956792476807727,0.8051939799938275
D,1.4000000000000004,20,huber,0.4,0.8571428571428571,0.0532765737874097,0.8038662833554474
D,1.4000000000000004,20,huber,0.5,0.8571428571428571,0.054092567259461925,0.8030502898833952
D,0.7000000000000002,20,huber,0.9,0.9523809523809523,0.15047169811320754,0.8019092542677448
D,-0.09999999999999987,15,mse,0.1,0.9523809523809523,0.1512292738707833,0.801151678510169
D,1.0,20,huber,0.5,0.9047619047619048,0.10446428571428572,0.8002976190476191
D,-0.19999999999999996,15,mse,0.1,0.9523809523809523,0.15214646464646464,0.8002344877344877
D,0.6000000000000001,20,huber,0.6000000000000001,0.9523809523809523,0.1524019056441474,0.7999790467368049
D,1.0,20,huber,0.6000000000000001,0.9047619047619048,0.10501253132832081,0.799749373433584
D,1.0,20,huber,0.7000000000000001,0.9047619047619048,0.1050509337860781,0.7997109709758267
D,0.9000000000000004,20,huber,0.4,0.9047619047619048,0.10551619433198381,0.799245710429921
D,0.6000000000000001,20,huber,0.7000000000000001,0.9523809523809523,0.15322829780661107,0.7991526545743413
D,0.0,15,mse,0.1,0.95,0.1509433962264151,0.7990566037735849
D,0.5,20,huber,0.5,0.9523809523809523,0.1541042849767682,0.7982766674041841
D,0.6000000000000001,20,huber,0.30000000000000004,0.9023809523809524,0.10638297872340426,0.7959979736575481
D,0.5,20,huber,0.30000000000000004,0.9047619047619048,0.10912371134020618,0.7956381934216986
D,1.0,20,huber,0.8,0.9047619047619048,0.1093073593073593,0.7954545454545454
D,1.3000000000000003,20,huber,0.4,0.8571428571428571,0.061709506323949406,0.7954333508189076
D,0.7000000000000002,20,huber,1.0,0.95,0.15538823230397764,0.7946117676960223
D,0.6000000000000001,20,huber,0.8,0.9523809523809523,0.15789473684210525,0.794486215538847
D,0.30000000000000027,20,huber,0.4,0.9523809523809523,0.1589239246900352,0.7934570276909172
D,0.9000000000000004,20,huber,0.5,0.9047619047619048,0.11192810457516339,0.7928338001867414
D,-0.3999999999999999,15,rmse,0.1,0.9523809523809523,0.16018239625167335,0.792198556129279
D,-0.3999999999999999,15,mae,0.1,0.9523809523809523,0.16018239625167335,0.792198556129279
D,-0.3999999999999999,15,hausdorff,0.1,0.9523809523809523,0.16018239625167335,0.792198556129279
D,0.8000000000000003,20,huber,0.4,0.9047619047619048,0.11258556677108714,0.7921763379908177
D,0.9000000000000004,20,huber,0.6000000000000001,0.9047619047619048,0.11297632260451351,0.7917855821573913
D,1.3000000000000003,20,huber,0.5,0.8571428571428571,0.06602794687327061,0.7911149102695865
D,1.0,20,huber,0.9,0.9047619047619048,0.11371857478748418,0.7910433299744206
D,0.40000000000000036,20,huber,0.5,0.9523809523809523,0.1616904337492573,0.790690518631695
D,0.9000000000000004,20,huber,0.7000000000000001,0.9047619047619048,0.11547008547008547,0.7892918192918192
D,0.5,20,huber,0.6000000000000001,0.9523809523809523,0.1634917755200774,0.7888891768608749
D,0.6000000000000001,20,huber,0.9,0.9523809523809523,0.16465835957825553,0.7877225928026967
D,0.40000000000000036,20,huber,0.30000000000000004,0.9047619047619048,0.11733416770963705,0.7874277370522678
