LOS,a,window_size,loss_func,alpha,PD_mean,FAR_mean,Youden_index
A,-0.19999999999999996,20,huber,0.30000000000000004,0.8808008658008658,0.1705615959819872,0.7102392698188786
A,-0.2999999999999998,20,huber,0.30000000000000004,0.8848412698412698,0.1766340010984418,0.708207268742828
A,0.20000000000000018,20,huber,0.30000000000000004,0.855108225108225,0.15067992241380848,0.7044283026944166
A,0.10000000000000009,20,huber,0.30000000000000004,0.8631890331890332,0.1590104646329318,0.7041785685561014
A,0.0,20,huber,0.30000000000000004,0.8685281385281385,0.165289911195238,0.7032382273329005
A,-0.3999999999999999,20,huber,0.30000000000000004,0.8920562770562771,0.18959174005016716,0.70246453700611
A,-0.09999999999999987,20,huber,0.30000000000000004,0.8708441558441559,0.16875944526564718,0.7020847105785086
A,0.30000000000000027,20,huber,0.30000000000000004,0.8415367965367966,0.1423261009582243,0.6992106955785723
A,0.30000000000000027,20,huber,0.4,0.8787012987012988,0.18239650839677785,0.696304790304521
A,0.20000000000000018,20,huber,0.4,0.8918470418470418,0.1968678678808176,0.6949791739662242
A,0.40000000000000036,20,huber,0.30000000000000004,0.8252236652236652,0.13488067635219556,0.6903429888714696
A,0.10000000000000009,20,huber,0.4,0.9016666666666667,0.21252675846728847,0.6891399081993783
A,-0.2999999999999998,20,huber,0.4,0.9318326118326118,0.2443452230117011,0.6874873888209106
A,-0.09999999999999987,15,huber,0.30000000000000004,0.8004834054834055,0.11510490207844828,0.6853785034049572
A,-0.09999999999999987,20,huber,0.4,0.9169696969696969,0.2320050987279334,0.6849645982417635
A,-0.19999999999999996,15,huber,0.30000000000000004,0.8010606060606059,0.11613064372918992,0.684929962331416
A,0.40000000000000036,20,huber,0.4,0.8511399711399711,0.16636904364664284,0.6847709274933282
A,0.0,15,huber,0.30000000000000004,0.7973088023088024,0.11263309506101712,0.6846757072477853
A,0.0,20,huber,0.4,0.9064285714285714,0.22237843768335877,0.6840501337452126
A,0.5,20,huber,0.4,0.8393001443001443,0.15536012636064048,0.6839400179395039
A,-0.2999999999999998,15,huber,0.30000000000000004,0.8089971139971139,0.12593692559569813,0.6830601884014158
A,-0.19999999999999996,20,huber,0.4,0.9227417027417028,0.23970182956200287,0.6830398731796998
A,-0.3999999999999999,20,huber,0.4,0.9332756132756133,0.2503620165921186,0.6829135966834947
A,0.5,20,huber,0.30000000000000004,0.805880230880231,0.12507126955776332,0.6808089613224677
A,0.10000000000000009,15,huber,0.30000000000000004,0.7912481962481963,0.11186700453380911,0.6793811917143872
A,0.20000000000000018,15,huber,0.30000000000000004,0.7843073593073593,0.1079488657367253,0.6763584935706339
A,-0.19999999999999996,15,huber,0.4,0.8552597402597402,0.18117520359437667,0.6740845366653635
A,0.6000000000000001,20,huber,0.4,0.8122366522366523,0.13896759002295372,0.6732690622136985
A,0.30000000000000027,20,huber,0.5,0.879148629148629,0.20610904898098611,0.6730395801676429
A,-0.5,20,huber,0.30000000000000004,0.9047907647907648,0.23185581967032665,0.6729349451204382
A,0.30000000000000027,15,huber,0.30000000000000004,0.7757647907647907,0.10386349590343975,0.6719012948613509
A,-0.09999999999999987,15,huber,0.4,0.8507864357864358,0.17943299629106393,0.6713534394953719
A,-0.2999999999999998,15,huber,0.4,0.8565584415584415,0.18547593137827814,0.6710825101801634
A,0.40000000000000036,20,huber,0.6000000000000001,0.8593434343434343,0.1888389068695272,0.6705045274739071
A,0.6000000000000001,20,huber,0.30000000000000004,0.7862481962481962,0.11601298518814089,0.6702352110600553
A,0.40000000000000036,20,huber,0.5,0.853961038961039,0.18579856402272388,0.6681624749383152
A,0.20000000000000018,20,huber,0.5,0.8928643578643578,0.22491413134430457,0.6679502265200532
A,0.0,15,huber,0.4,0.8399639249639249,0.17226745100025703,0.6676964739636679
A,0.40000000000000036,15,huber,0.30000000000000004,0.7675396825396825,0.10008878352344538,0.6674508990162371
A,-0.3999999999999999,15,huber,0.30000000000000004,0.819134199134199,0.15189406148871604,0.6672401376454831
A,0.10000000000000009,15,huber,0.4,0.8304401154401153,0.16773016828133844,0.6627099471587768
A,0.7000000000000002,20,huber,0.30000000000000004,0.7721572871572872,0.11030694825465019,0.661850338902637
A,0.30000000000000027,20,huber,0.6000000000000001,0.8768470418470419,0.21515985902219947,0.6616871828248424
A,0.5,15,huber,0.30000000000000004,0.7555194805194805,0.09392557975086341,0.6615939007686171
A,0.5,20,huber,0.5,0.8300649350649351,0.16857286364426344,0.6614920714206716
A,0.10000000000000009,20,huber,0.5,0.9009451659451659,0.239528871129625,0.6614162948155409
A,0.20000000000000018,15,huber,0.4,0.8213275613275614,0.16008964184664745,0.6612379194809139
A,0.20000000000000018,20,huber,0.6000000000000001,0.8935930735930736,0.23324745018930973,0.6603456234037639
A,0.7000000000000002,20,huber,0.4,0.7863852813852814,0.1285542186608479,0.6578310627244335
A,0.30000000000000027,15,huber,0.4,0.8087590187590188,0.15142420708724047,0.6573348116717783
A,0.30000000000000027,15,mse,0.2,0.8575036075036075,0.20197312122783487,0.6555304862757727
A,0.5,15,mse,0.2,0.8150649350649352,0.15969091732865612,0.655374017736279
A,-0.3999999999999999,15,huber,0.4,0.8588311688311688,0.20408304237741148,0.6547481264537574
A,0.6000000000000001,15,mse,0.2,0.795079365079365,0.14072203051936122,0.6543573345600038
A,0.40000000000000036,15,huber,0.4,0.7965945165945165,0.1426952745288835,0.653899242065633
A,0.0,20,huber,0.5,0.909033189033189,0.25540233262139306,0.6536308564117959
A,0.20000000000000018,15,mse,0.2,0.8742496392496393,0.22101318430637237,0.6532364549432669
