TMU ID, Legacy TMU ID, Site Name
C6E971CAD182789BE0433CC411ACCCEA,30014573,TMU Site 9781/1 on A69 westbound between A68 near Corbridge (east) and A68 near Corbridge (west); GPS Ref: 401219;564260; Westbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2024-03-01,00:14:00,4,15,6,4,3,2,97.35,15,120000701,19
2024-03-01,00:29:00,4,8,6,1,0,1,109.74,15,120000701,19
2024-03-01,00:44:00,4,13,4,3,1,5,91.33,15,120000701,19
2024-03-01,00:59:00,4,9,5,1,1,2,104.00,15,120000701,19
2024-03-01,01:14:00,4,10,8,0,1,1,97.35,15,120000701,19
2024-03-01,01:29:00,4,12,5,1,2,4,97.64,15,120000701,19
2024-03-01,01:44:00,4,9,7,0,1,1,100.58,15,120000701,19
2024-03-01,01:59:00,4,11,4,3,4,0,101.17,15,120000701,19
2024-03-01,02:14:00,4,7,4,1,0,2,98.93,15,120000701,19
2024-03-01,02:29:00,4,9,3,1,1,4,94.91,15,120000701,19
2024-03-01,02:44:00,4,7,4,0,0,3,92.19,15,120000701,19
2024-03-01,02:59:00,4,8,2,1,2,3,99.24,15,120000701,19
2024-03-01,03:14:00,4,7,4,0,0,3,105.34,15,120000701,19
2024-03-01,03:29:00,4,9,2,1,3,3,80.94,15,120000701,19
2024-03-01,03:44:00,4,9,2,1,1,5,86.59,15,120000701,19
2024-03-01,03:59:00,4,7,4,0,0,3,94.54,15,120000701,19
2024-03-01,04:14:00,4,14,4,4,3,3,96.84,15,120000701,19
2024-03-01,04:29:00,4,13,8,4,0,1,96.12,15,120000701,19
2024-03-01,04:44:00,4,32,15,4,5,8,97.72,15,120000701,19
2024-03-01,04:59:00,4,28,14,4,4,6,99.84,15,120000701,19
2024-03-01,05:14:00,4,29,19,1,6,3,100.84,15,120000701,19
2024-03-01,05:29:00,4,35,15,5,5,10,100.09,15,120000701,19
2024-03-01,05:44:00,4,63,31,8,11,13,98.02,15,120000701,19
2024-03-01,05:59:00,4,73,39,7,11,16,101.75,15,120000701,19
2024-03-01,06:14:00,4,78,42,6,12,18,102.65,15,120000701,19
2024-03-01,06:29:00,4,116,71,21,16,8,102.24,15,120000701,19
2024-03-01,06:44:00,4,137,92,14,19,12,102.71,15,120000701,19
2024-03-01,06:59:00,4,191,143,14,15,19,108.52,15,120000701,19
2024-03-01,07:14:00,4,229,170,23,21,15,107.00,15,120000701,19
2024-03-01,07:29:00,4,209,156,29,14,10,106.55,15,120000701,19
2024-03-01,07:44:00,4,292,225,34,18,15,106.26,15,120000701,19
2024-03-01,07:59:00,4,338,267,38,18,15,110.15,15,120000701,19
2024-03-01,08:14:00,4,331,263,37,17,14,109.37,15,120000701,19
2024-03-01,08:29:00,4,320,254,27,21,18,104.60,15,120000701,19
