TMU ID, Legacy TMU ID, Site Name
C6E971CAD167789BE0433CC411ACCCEA,30014546,TMU Site 9755/1 on A1 southbound between A1068 and A697; GPS Ref: 418399;596771; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2024-01-01,00:14:00,14,12,9,2,0,1,89.63,15,120012604,19
2024-01-01,00:29:00,14,16,14,0,1,1,93.65,15,120012604,19
2024-01-01,00:44:00,14,19,17,1,0,1,93.68,15,120012604,19
2024-01-01,00:59:00,14,22,21,1,0,0,86.62,15,120012604,19
2024-01-01,01:14:00,14,20,20,0,0,0,88.49,15,120012604,19
2024-01-01,01:29:00,14,19,16,2,0,1,82.78,15,120012604,19
2024-01-01,01:44:00,14,21,20,1,0,0,77.59,15,120012604,19
2024-01-01,01:59:00,14,18,15,2,1,0,88.47,15,120012604,19
2024-01-01,02:14:00,14,12,11,1,0,0,92.49,15,120012604,19
2024-01-01,02:29:00,14,15,14,0,1,0,87.35,15,120012604,19
2024-01-01,02:44:00,14,23,22,0,0,1,87.49,15,120012604,19
2024-01-01,02:59:00,14,14,14,0,0,0,86.50,15,120012604,19
2024-01-01,03:14:00,14,27,25,1,0,1,86.06,15,120012604,19
2024-01-01,03:29:00,14,16,15,0,1,0,90.70,15,120012604,19
2024-01-01,03:44:00,14,9,9,0,0,0,86.33,15,120012604,19
2024-01-01,03:59:00,14,9,8,0,0,1,93.19,15,120012604,19
2024-01-01,04:14:00,14,5,5,0,0,0,90.41,15,120012604,19
2024-01-01,04:29:00,14,8,7,0,0,1,90.00,15,120012604,19
2024-01-01,04:44:00,14,5,5,0,0,0,85.60,15,120012604,19
2024-01-01,04:59:00,14,5,4,0,1,0,77.40,15,120012604,19
2024-01-01,05:14:00,14,6,6,0,0,0,82.47,15,120012604,19
2024-01-01,05:29:00,14,6,4,1,1,0,85.46,15,120012604,19
2024-01-01,05:44:00,14,2,2,0,0,0,81.92,15,120012604,19
2024-01-01,05:59:00,14,7,5,1,0,1,90.79,15,120012604,19
2024-01-01,06:14:00,14,10,9,0,0,1,101.50,15,120012604,19
2024-01-01,06:29:00,14,8,7,1,0,0,80.14,15,120012604,19
2024-01-01,06:44:00,14,6,6,0,0,0,92.66,15,120012604,19
2024-01-01,06:59:00,14,5,4,1,0,0,95.01,15,120012604,19
2024-01-01,07:14:00,14,15,14,0,0,1,88.55,15,120012604,19
2024-01-01,07:29:00,14,15,14,0,0,1,87.87,15,120012604,19
2024-01-01,07:44:00,14,20,17,1,0,2,94.55,15,120012604,19
2024-01-01,07:59:00,14,21,17,2,1,1,95.37,15,120012604,19
2024-01-01,08:14:00,14,17,11,2,0,4,91.73,15,120012604,19
2024-01-01,08:29:00,14,22,22,0,0,0,100.07,15,120012604,19
2024-01-01,08:44:00,14,45,42,1,1,1,88.67,15,120012604,19
2024-01-01,08:59:00,14,30,29,0,1,0,98.13,15,120012604,19
2024-01-01,09:14:00,14,49,45,0,2,2,85.69,15,120012604,19
2024-01-01,09:29:00,14,60,56,3,1,0,86.34,15,120012604,19
2024-01-01,09:44:00,14,75,72,3,0,0,90.78,15,120012604,19
2024-01-01,09:59:00,14,103,94,5,2,2,85.31,15,120012604,19
2024-01-01,10:14:00,14,141,134,5,2,0,83.48,15,120012604,19
2024-01-01,10:29:00,14,183,172,7,1,3,83.94,15,120012604,19
2024-01-01,10:44:00,14,170,156,8,4,2,85.39,15,120012604,19
2024-01-01,10:59:00,14,171,157,7,7,0,87.24,15,120012604,19
2024-01-01,11:14:00,14,182,167,9,5,1,83.15,15,120012604,19
2024-01-01,11:29:00,14,190,172,3,12,3,84.45,15,120012604,19
2024-01-01,11:44:00,14,203,177,20,5,1,79.37,15,120012604,19
2024-01-01,11:59:00,14,196,178,13,4,1,87.15,15,120012604,19
2024-01-01,12:14:00,14,246,216,17,10,3,79.25,15,120012604,19
2024-01-01,12:29:00,14,225,202,12,6,5,83.73,15,120012604,19
2024-01-01,12:44:00,14,216,201,9,6,0,87.24,15,120012604,19
2024-01-01,12:59:00,14,228,217,5,5,1,84.19,15,120012604,19
2024-01-01,13:14:00,14,254,233,14,4,3,80.43,15,120012604,19
2024-01-01,13:29:00,14,259,239,13,5,2,82.00,15,120012604,19
2024-01-01,13:44:00,14,231,222,7,1,1,83.37,15,120012604,19
2024-01-01,13:59:00,14,217,205,9,3,0,84.77,15,120012604,19
2024-01-01,14:14:00,14,272,252,17,3,0,82.75,15,120012604,19
2024-01-01,14:29:00,14,248,233,11,3,1,84.24,15,120012604,19
2024-01-01,14:44:00,14,266,250,14,2,0,84.56,15,120012604,19
2024-01-01,14:59:00,14,263,254,7,2,0,84.75,15,120012604,19
2024-01-01,15:14:00,14,269,254,13,0,2,80.62,15,120012604,19
2024-01-01,15:29:00,14,294,281,7,5,1,79.90,15,120012604,19
2024-01-01,15:44:00,14,270,253,14,2,1,80.16,15,120012604,19
2024-01-01,15:59:00,14,269,251,13,4,1,78.64,15,120012604,19
2024-01-01,16:14:00,14,288,270,12,5,1,76.46,15,120012604,19
2024-01-01,16:29:00,14,274,262,9,1,2,76.26,15,120012604,19
2024-01-01,16:44:00,14,243,230,11,2,0,74.75,15,120012604,19
2024-01-01,16:59:00,14,177,171,3,3,0,77.21,15,120012604,19
2024-01-01,17:14:00,14,169,158,9,1,1,78.05,15,120012604,19
2024-01-01,17:29:00,14,190,175,11,1,3,79.73,15,120012604,19
2024-01-01,17:44:00,14,148,134,6,3,5,79.75,15,120012604,19
2024-01-01,17:59:00,14,120,115,3,0,2,85.34,15,120012604,19
2024-01-01,18:14:00,14,117,113,3,0,1,81.74,15,120012604,19
2024-01-01,18:29:00,14,106,99,6,1,0,81.73,15,120012604,19
2024-01-01,18:44:00,14,108,103,4,0,1,84.22,15,120012604,19
2024-01-01,18:59:00,14,79,73,4,0,2,86.35,15,120012604,19
2024-01-01,19:14:00,14,91,84,4,1,2,84.40,15,120012604,19
2024-01-01,19:29:00,14,87,84,2,1,0,82.90,15,120012604,19
2024-01-01,19:44:00,14,74,68,4,2,0,83.87,15,120012604,19
2024-01-01,19:59:00,14,60,55,4,1,0,83.80,15,120012604,19
2024-01-01,20:14:00,14,59,51,5,0,3,86.33,15,120012604,19
2024-01-01,20:29:00,14,49,45,2,0,2,83.02,15,120012604,19
2024-01-01,20:44:00,14,55,49,4,1,1,89.68,15,120012604,19
