Atk Average Speed,Vo Average Speed,Atk Entry Time,Atk Exit Time,AtK Sim Time,Vo Entry Time,Vo Exit Time,Vo Sim Time,Attacker Messages,Atk First Msg Time,Atk Last Msg Time,AtK Msg Duration,Total Msg Time < 100,MHID,Less than 100
12.020120481927712,18.360091743119263,901,1066,165,913,1021,108,26,977.000245351658,1002.000241198254,24.999995846595997,5.999997977657017,h0,7
19.35116504854369,22.135888888888893,901,1003,102,913,1002,89,17,950.000241383947,966.000240166624,15.99999878267704,2.9999989436779515,h0,4
13.207333333333333,22.358426966292136,901,1050,149,913,1001,88,25,964.00024535454,988.000237149542,23.999991795002074,5.999997971092967,h0,7
15.165114503816794,19.492233009708738,901,1031,130,913,1015,102,27,959.000238385738,985.00023825661,25.99999987087199,5.999998050662043,h0,7
17.76553571428571,21.119893617021276,901,1012,111,913,1006,93,21,955.00023531176,975.000237196429,20.000001884669015,3.9999899977690343,h0,5
19.001142857142856,18.03436363636364,901,1005,104,913,1022,109,19,944.00024327049,962.000237217926,17.999993947435996,4.000002894757017,h0,5
7.404423791821562,19.632352941176467,901,1169,268,913,1014,101,31,964.000245342808,994.000235217361,29.99998987455308,7.000001955473067,h0,8
20.289897959183676,20.44103092783505,901,998,97,913,1009,96,19,948.000246376675,966.000240253427,17.999993876752,2.999998962903988,h0,4
20.479793814432988,18.62373831775701,901,997,96,913,1019,106,20,945.000247288986,964.000245184191,18.99999789520507,4.000002923100055,h0,5
15.896000000000004,20.192727272727275,901,1025,124,913,1011,98,19,956.000239363346,974.00024615025,18.000006786903896,2.9999990235289715,h0,4
8.293609958506224,20.223838383838384,901,1141,240,913,1011,98,28,960.000242338557,987.000246241,27.00000390244304,5.999998049607029,h0,7
18.01504504504504,17.254173913043477,901,1011,110,913,1027,114,20,962.000237341157,981.000235237477,18.99999789632,4.000002956556045,h0,5
18.025181818181817,21.616956521739134,901,1010,109,913,1004,91,20,953.000240346372,972.000238140236,18.99999779386394,4.000002964516966,h0,5
15.95376,19.19519230769231,901,1025,124,913,1016,103,20,955.000235328072,974.0002461997,19.00001087162798,4.000003048400004,h0,5
17.814642857142857,17.709469026548675,901,1012,111,913,1025,112,22,956.00023935692,977.000245191112,21.00000583419194,4.000003002802032,h0,5
17.845803571428572,24.171463414634147,901,1012,111,913,994,81,18,947.000242369347,964.000245195858,17.000002826511036,4.0000030385870105,h0,5
18.24772727272727,19.786138613861382,901,1010,109,913,1013,100,22,955.000235335535,976.000241150088,21.000005814552992,4.000003063831059,h0,5
18.18036363636364,23.298117647058824,901,1010,109,913,997,84,20,950.000241375964,969.000239223609,18.999997847644977,2.9999989297659795,h0,4
17.24405172413793,25.58320512820513,901,1016,115,913,990,77,16,947.000242300466,962.000237109028,14.999994808562064,2.999999059474021,h0,4
18.008727272727274,18.79349056603774,901,1010,109,913,1018,105,20,960.000242296121,979.000240165828,18.999997869707045,2.999998998302999,h0,4
18.51944444444445,20.409693877551017,901,1008,107,913,1010,97,21,953.000240297154,973.000242247579,20.00000195042492,4.00000310410303,h0,5
13.892237762237762,21.271702127659573,901,1043,142,913,1006,93,20,963.000241341016,982.000239245556,18.99999790454001,3.999989944987988,h0,5
18.04418181818182,11.592890173410408,901,1010,109,913,1085,172,20,960.000242276301,979.00024026437,18.999997988068912,4.000003116189077,h0,5
10.516825396825396,19.641881188118813,901,1089,188,913,1013,100,22,965.000236305377,986.000242256796,21.000005951418984,3.999989972395952,h0,5
15.571162790697676,17.54605263157895,901,1029,128,913,1026,113,27,952.000236372286,978.000236221473,25.999999849186903,4.99999399158105,h0,6
12.887032258064515,21.257872340425536,901,1055,154,913,1006,93,17,963.00024130381,979.000240173918,15.999998870108016,2.999999151911993,h0,4
22.430449438202245,15.520852713178297,901,989,88,913,1041,128,27,949.000237346998,975.000237204515,25.99999985751697,5.999998026821913,h0,7
13.688344827586208,22.46123595505618,901,1045,144,913,1001,88,24,953.00024035795,976.000241153698,23.00000079574795,5.999998066529088,h0,7
16.528833333333335,22.87954022988506,901,1020,119,913,999,86,23,951.000245269041,973.000242256626,21.999996987585064,5.000007021269994,h0,6
16.340162601626016,19.9738,901,1023,122,913,1012,99,22,951.000245326843,972.000238148818,20.99999282197496,4.999993992969962,h0,6
17.339130434782607,22.614204545454548,901,1015,114,913,1000,87,21,946.000238377058,966.000240213003,20.000001835945,4.000002949023042,h0,5
12.928181818181818,10.725161290322582,901,1054,153,913,1098,185,44,962.000237323978,1005.000240217558,43.00000289358002,8.999996978642912,h0,10
16.274146341463414,19.9001,901,1023,122,913,1012,99,18,956.000239323458,973.000242174305,17.000002850846954,4.000002994878059,h0,5
18.62158878504673,17.442,901,1007,106,913,1027,114,22,955.000235275027,976.000241261265,21.00000598623808,4.999994066018985,h0,6
18.145545454545456,23.05883720930233,901,1010,109,913,998,85,20,952.000236261904,971.000247228532,19.000010966628,4.0000030228250125,h0,5
18.265688073394497,17.261391304347825,901,1009,108,913,1027,114,20,957.000243368755,976.000241206428,18.999997837672936,3.999989914824027,h0,5
15.450852713178293,18.3975,901,1029,128,913,1020,107,21,950.000241355454,970.00024317675,20.000001821296,3.999990065002976,h0,5
20.7059375,19.51901960784313,901,996,95,913,1014,101,19,948.000246359323,966.000240149994,17.999993790671056,4.000003078079999,h0,5
15.435193798449612,19.074285714285715,901,1029,128,913,1017,104,19,955.000235298433,973.000242189062,18.000006890628924,4.000003037052011,h0,5
19.064190476190475,20.22636363636364,901,1005,104,913,1011,98,21,950.00024133027,970.000243145341,20.00000181507096,4.000003075062978,h0,5
