LOS,a,window_size,loss_func,alpha,PD_mean,FAR_mean,Youden_index
A,0.0,20,huber,0.4,0.9138361540993121,0.21598742946978183,0.6978487246295302
A,0.10000000000000009,20,huber,0.4,0.9034962892857629,0.2079367934385153,0.6955594958472475
A,-0.09999999999999987,20,huber,0.4,0.915863571126729,0.2224190581009047,0.6934445130258243
A,-0.19999999999999996,20,huber,0.4,0.9220684773316352,0.23212847237593265,0.6899400049557025
A,0.0,20,huber,0.5,0.9389046966678546,0.24953650228496715,0.6893681943828874
A,0.10000000000000009,20,huber,0.5,0.9248707481602219,0.23589132761788456,0.6889794205423373
A,0.30000000000000027,20,huber,0.5,0.8919694827589564,0.20320786557645562,0.6887616171825007
A,-0.2999999999999998,20,huber,0.4,0.9241608294239873,0.23777596198980017,0.686384867434187
A,0.20000000000000018,20,huber,0.5,0.9049284682179418,0.21887673974848107,0.6860517284694607
A,0.20000000000000018,20,huber,0.4,0.8825655533550271,0.19798932010541948,0.6845762332496076
A,-0.09999999999999987,20,huber,0.5,0.9413577991209571,0.25817408521514046,0.6831837139058166
A,-0.19999999999999996,20,huber,0.5,0.951314509077667,0.26972365569854123,0.6815908533791257
A,-0.3999999999999999,20,huber,0.4,0.9277755480387059,0.24652948182134518,0.6812460662173607
A,0.40000000000000036,20,huber,0.5,0.8708222966117702,0.19009778588216,0.6807245107296103
A,-0.09999999999999987,20,huber,0.30000000000000004,0.8569201899465057,0.17862700728096095,0.6782931826655447
A,0.20000000000000018,20,huber,0.6000000000000001,0.9113111596006331,0.2331651754502361,0.6781459841503971
A,-0.19999999999999996,20,huber,0.30000000000000004,0.8622737253000411,0.18444172837930092,0.6778319969207401
A,-0.2999999999999998,20,huber,0.30000000000000004,0.863139526165842,0.18548873822807005,0.677650787937772
A,0.0,20,huber,0.30000000000000004,0.8522953703216861,0.17468261395483464,0.6776127563668515
A,-0.3999999999999999,20,huber,0.30000000000000004,0.8664584294847452,0.18907930960385705,0.6773791198808881
A,0.10000000000000009,20,huber,0.6000000000000001,0.9253371336266072,0.24798126543926116,0.677355868187346
A,-0.2999999999999998,20,huber,0.5,0.9545612623244202,0.27774931369547473,0.6768119486289454
A,0.30000000000000027,20,huber,0.4,0.8583295116189854,0.1819480831305068,0.6763814284884786
A,0.40000000000000036,20,huber,0.4,0.8433872316767053,0.16771444793973866,0.6756727837369666
A,0.10000000000000009,20,huber,0.30000000000000004,0.8422368907895224,0.16942730002411086,0.6728095907654115
