Local Date,Time,LOS
14/01/2024,07:00:00,A
15/01/2024,07:00:00,C
16/01/2024,07:00:00,C
17/01/2024,07:00:00,B
18/01/2024,07:00:00,C
19/01/2024,07:00:00,C
20/01/2024,07:00:00,A
21/01/2024,07:00:00,A
22/01/2024,07:00:00,C
23/01/2024,07:00:00,C
24/01/2024,07:00:00,C
25/01/2024,07:00:00,C
26/01/2024,07:00:00,C
27/01/2024,07:00:00,A
28/01/2024,07:00:00,A
29/01/2024,07:00:00,C
30/01/2024,07:00:00,C
31/01/2024,07:00:00,C
01/01/2024,08:00:00,A
02/01/2024,08:00:00,B
03/01/2024,08:00:00,B
04/01/2024,08:00:00,C
05/01/2024,08:00:00,B
06/01/2024,08:00:00,A
07/01/2024,08:00:00,A
08/01/2024,08:00:00,C
09/01/2024,08:00:00,C
10/01/2024,08:00:00,C
11/01/2024,08:00:00,C
12/01/2024,08:00:00,C
13/01/2024,08:00:00,A
14/01/2024,08:00:00,A
15/01/2024,08:00:00,D
16/01/2024,08:00:00,C
17/01/2024,08:00:00,B
18/01/2024,08:00:00,C
19/01/2024,08:00:00,C
20/01/2024,08:00:00,A
21/01/2024,08:00:00,A
22/01/2024,08:00:00,C
23/01/2024,08:00:00,C
24/01/2024,08:00:00,C
25/01/2024,08:00:00,C
26/01/2024,08:00:00,C
27/01/2024,08:00:00,A
28/01/2024,08:00:00,A
29/01/2024,08:00:00,C
30/01/2024,08:00:00,C
31/01/2024,08:00:00,C
01/01/2024,09:00:00,A
02/01/2024,09:00:00,A
03/01/2024,09:00:00,B
04/01/2024,09:00:00,B
05/01/2024,09:00:00,B
06/01/2024,09:00:00,A
07/01/2024,09:00:00,A
08/01/2024,09:00:00,B
09/01/2024,09:00:00,B
10/01/2024,09:00:00,B
11/01/2024,09:00:00,B
12/01/2024,09:00:00,B
13/01/2024,09:00:00,B
14/01/2024,09:00:00,A
15/01/2024,09:00:00,B
16/01/2024,09:00:00,B
17/01/2024,09:00:00,B
18/01/2024,09:00:00,B
19/01/2024,09:00:00,B
20/01/2024,09:00:00,A
21/01/2024,09:00:00,A
22/01/2024,09:00:00,C
23/01/2024,09:00:00,B
24/01/2024,09:00:00,C
25/01/2024,09:00:00,B
26/01/2024,09:00:00,C
27/01/2024,09:00:00,B
28/01/2024,09:00:00,A
29/01/2024,09:00:00,B
30/01/2024,09:00:00,C
31/01/2024,09:00:00,B
01/01/2024,10:00:00,A
02/01/2024,10:00:00,B
03/01/2024,10:00:00,B
04/01/2024,10:00:00,B
05/01/2024,10:00:00,B
06/01/2024,10:00:00,B
07/01/2024,10:00:00,A
08/01/2024,10:00:00,B
09/01/2024,10:00:00,B
10/01/2024,10:00:00,B
11/01/2024,10:00:00,B
12/01/2024,10:00:00,B
13/01/2024,10:00:00,B
14/01/2024,10:00:00,B
15/01/2024,10:00:00,B
16/01/2024,10:00:00,B
17/01/2024,10:00:00,B
18/01/2024,10:00:00,B
19/01/2024,10:00:00,B
20/01/2024,10:00:00,B
21/01/2024,10:00:00,A
22/01/2024,10:00:00,C
23/01/2024,10:00:00,B
24/01/2024,10:00:00,C
25/01/2024,10:00:00,B
26/01/2024,10:00:00,B
27/01/2024,10:00:00,B
28/01/2024,10:00:00,B
29/01/2024,10:00:00,B
30/01/2024,10:00:00,B
31/01/2024,10:00:00,B
01/01/2024,11:00:00,A
02/01/2024,11:00:00,B
03/01/2024,11:00:00,B
04/01/2024,11:00:00,B
05/01/2024,11:00:00,B
06/01/2024,11:00:00,A
07/01/2024,11:00:00,A
08/01/2024,11:00:00,B
09/01/2024,11:00:00,B
10/01/2024,11:00:00,B
11/01/2024,11:00:00,B
12/01/2024,11:00:00,B
13/01/2024,11:00:00,B
14/01/2024,11:00:00,B
15/01/2024,11:00:00,B
16/01/2024,11:00:00,B
17/01/2024,11:00:00,B
18/01/2024,11:00:00,B
19/01/2024,11:00:00,B
20/01/2024,11:00:00,B
21/01/2024,11:00:00,B
22/01/2024,11:00:00,C
23/01/2024,11:00:00,B
24/01/2024,11:00:00,B
25/01/2024,11:00:00,B
26/01/2024,11:00:00,B
27/01/2024,11:00:00,B
28/01/2024,11:00:00,B
29/01/2024,11:00:00,B
30/01/2024,11:00:00,B
31/01/2024,11:00:00,B
01/01/2024,12:00:00,B
02/01/2024,12:00:00,B
03/01/2024,12:00:00,B
04/01/2024,12:00:00,B
05/01/2024,12:00:00,B
06/01/2024,12:00:00,A
07/01/2024,12:00:00,B
08/01/2024,12:00:00,B
09/01/2024,12:00:00,B
10/01/2024,12:00:00,B
11/01/2024,12:00:00,B
12/01/2024,12:00:00,B
13/01/2024,12:00:00,B
14/01/2024,12:00:00,B
15/01/2024,12:00:00,B
16/01/2024,12:00:00,B
17/01/2024,12:00:00,B
18/01/2024,12:00:00,B
19/01/2024,12:00:00,B
20/01/2024,12:00:00,B
21/01/2024,12:00:00,B
22/01/2024,12:00:00,B
23/01/2024,12:00:00,B
24/01/2024,12:00:00,C
