Local Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
01/01/2024,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,A
02/01/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A
03/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
04/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
05/01/2024,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
06/01/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,A,A
07/01/2024,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A
08/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
09/01/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
10/01/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
11/01/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,C,C,B,A,A,A,A,A,A
12/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,C,B,B,A,A,A,A,A,A
13/01/2024,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A
14/01/2024,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A
15/01/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
16/01/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
17/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
18/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
19/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
20/01/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A
21/01/2024,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A
22/01/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,C,C,B,A,A,A,A,A,A
23/01/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
24/01/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,C,C,C,B,B,A,A,A,A,A
25/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
26/01/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,C,B,B,A,A,A,A,A,A
27/01/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A
28/01/2024,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A
29/01/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
30/01/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
31/01/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,C,C,B,A,A,A,A,A
