Time,LOS,Probability
00:00:00,A,1.0
01:00:00,A,1.0
02:00:00,A,1.0
03:00:00,A,1.0
04:00:00,A,1.0
05:00:00,A,1.0
06:00:00,A,1.0
07:00:00,A,0.4838709677419355
07:00:00,C,0.3870967741935484
07:00:00,B,0.12903225806451613
08:00:00,C,0.45161290322580644
08:00:00,A,0.41935483870967744
08:00:00,B,0.12903225806451613
09:00:00,C,0.45161290322580644
09:00:00,B,0.3870967741935484
09:00:00,A,0.16129032258064516
10:00:00,C,0.5483870967741935
10:00:00,B,0.41935483870967744
10:00:00,A,0.03225806451612903
11:00:00,C,0.6129032258064516
11:00:00,B,0.3225806451612903
11:00:00,A,0.03225806451612903
11:00:00,E,0.03225806451612903
12:00:00,C,0.5483870967741935
12:00:00,B,0.3870967741935484
12:00:00,A,0.03225806451612903
12:00:00,F,0.03225806451612903
13:00:00,B,0.7096774193548387
13:00:00,C,0.22580645161290322
13:00:00,A,0.03225806451612903
13:00:00,F,0.03225806451612903
14:00:00,B,0.7096774193548387
14:00:00,C,0.22580645161290322
14:00:00,A,0.03225806451612903
14:00:00,F,0.03225806451612903
15:00:00,B,0.7419354838709677
15:00:00,C,0.1935483870967742
15:00:00,A,0.03225806451612903
15:00:00,F,0.03225806451612903
16:00:00,B,0.5483870967741935
16:00:00,C,0.3870967741935484
16:00:00,A,0.06451612903225806
17:00:00,B,0.6451612903225806
17:00:00,A,0.25806451612903225
17:00:00,C,0.0967741935483871
18:00:00,A,0.6774193548387096
18:00:00,B,0.3225806451612903
19:00:00,A,0.967741935483871
19:00:00,B,0.03225806451612903
20:00:00,A,1.0
21:00:00,A,1.0
22:00:00,A,1.0
23:00:00,A,1.0
