LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,19.0,26.0,2.0,49.0,90.4762,35.1351,0.5672,0.8443,0.4625,1.6912
B,900.0,15.5,19.0,28.5,1.0,74.0,90.4762,26.015,0.5753,0.9179,0.3665,2.2275
C,900.0,15.5,20.0,29.0,1.0,86.5,95.2381,23.1833,0.5541,0.9107,0.3322,2.5361
D,900.0,15.5,19.0,28.0,2.0,127.0,90.4762,17.3762,0.5493,0.8973,0.2471,3.6187
E,900.0,15.5,19.0,21.0,2.0,177.5,90.4762,10.8357,0.5846,0.9313,0.1965,4.6065
