LOS,DepartureTime,Iteration,LossType,EntropyWin,Alpha_a,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,895,1,mse,15,0.3,21,12,0,62,100,16.21621622,0.777777778,0.994208494,0.347368421,1.972360134
A,895,2,mse,15,0.3,19,9,2,50,90.47619048,15.25423729,0.775510204,0.951977401,0.35,1.368114471
A,895,3,mse,15,0.3,17,4,4,55,80.95238095,6.779661017,0.80952381,0.899515738,0.2625,1.256873369
A,895,4,mse,15,0.3,20,47,1,147,95.23809524,24.22680412,0.454545455,0.948208149,0.311627907,3.230630636
A,895,5,mse,15,0.3,17,12,4,47,80.95238095,20.33898305,0.68,0.921307506,0.3625,1.220493555
A,895,6,mse,15,0.3,21,33,0,51,100,39.28571429,0.56,0.851190476,0.514285714,1.617550135
A,895,7,mse,15,0.3,17,21,4,53,80.95238095,28.37837838,0.576271186,0.891248391,0.4,1.43806982
A,895,8,mse,15,0.3,18,14,3,50,85.71428571,21.875,0.679245283,0.927083333,0.376470588,1.303246021
A,895,9,mse,15,0.3,17,24,4,40,80.95238095,37.5,0.548387097,0.880952381,0.482352941,1.326005697
A,895,10,mse,15,0.3,21,33,0,86,100,27.73109244,0.56,0.950380152,0.385714286,2.118059158
A,895,11,mse,15,0.3,20,15,1,94,95.23809524,13.76146789,0.714285714,0.953473132,0.269230769,1.976623058
A,895,12,mse,15,0.3,14,21,7,38,66.66666667,35.59322034,0.5,0.61299435,0.4375,1.227220297
A,895,13,mse,15,0.3,1,39,3,57,25,40.625,0.045454545,0.584635417,0.4,1.531091928
A,895,14,mse,15,0.3,21,32,0,37,100,46.37681159,0.567567568,0.961007591,0.588888889,1.382942677
A,895,15,mse,15,0.3,18,17,3,52,85.71428571,24.63768116,0.642857143,0.906142167,0.388888889,1.397654772
A,895,16,mse,15,0.3,16,25,5,34,76.19047619,42.37288136,0.516129032,0.752623083,0.5125,1.237545013
A,895,17,mse,15,0.3,20,4,1,65,95.23809524,5.797101449,0.888888889,0.989302968,0.266666667,1.366503716
A,895,18,mse,15,0.3,0,32,21,27,0,54.23728814,0,0.152542373,0.4,1.260767698
A,895,19,mse,15,0.3,19,15,2,49,90.47619048,23.4375,0.690909091,0.928571429,0.4,1.328347445
A,895,20,mse,15,0.3,19,22,2,62,90.47619048,26.19047619,0.612903226,0.876417234,0.39047619,1.610070229
A,895,21,mse,15,0.3,19,49,2,145,90.47619048,25.25773196,0.426966292,0.861806578,0.31627907,3.252346516
A,895,22,mse,15,0.3,18,14,3,55,85.71428571,20.28985507,0.679245283,0.924775707,0.355555556,1.386696339
A,895,23,mse,15,0.3,21,25,0,54,100,31.64556962,0.626865672,0.771549126,0.46,1.524878025
A,895,24,mse,15,0.3,18,13,3,66,85.71428571,16.4556962,0.692307692,0.907775769,0.31,1.591020584
A,895,25,mse,15,0.3,21,20,0,84,100,19.23076923,0.677419355,0.933379121,0.328,1.905342579
A,895,26,mse,15,0.3,18,21,3,63,85.71428571,25,0.6,0.93622449,0.371428571,1.609560251
A,895,27,mse,15,0.3,19,4,2,55,90.47619048,6.779661017,0.863636364,0.94511703,0.2875,1.233508348
