LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,895,1,21,12,0,62,100,16.21621622,0.777777778,0.976833977,0.347368421,1.78630805
A,895,2,16,26,5,48,76.19047619,35.13513514,0.507936508,0.733912484,0.442105263,1.354193449
A,895,3,21,22,0,122,100,15.27777778,0.65625,0.945436508,0.260606061,2.335742712
A,895,4,0,0,21,69,0,0,0,0.5,0,1.28765583
A,895,5,21,6,0,78,100,7.142857143,0.875,0.980442177,0.257142857,1.500686169
A,895,6,18,2,3,82,85.71428571,2.380952381,0.87804878,0.925736961,0.19047619,1.497660398
A,895,7,18,21,3,58,85.71428571,26.58227848,0.6,0.915913201,0.39,1.434428692
A,895,8,16,13,5,36,76.19047619,26.53061224,0.64,0.700194363,0.414285714,1.015022993
A,895,9,19,26,2,63,90.47619048,29.21348315,0.575757576,0.838951311,0.409090909,1.578836441
A,895,10,17,9,4,50,80.95238095,15.25423729,0.723404255,0.893866021,0.325,1.154774666
A,895,11,19,4,2,60,90.47619048,6.25,0.863636364,0.943452381,0.270588235,1.222496033
A,895,12,21,7,0,67,100,9.459459459,0.857142857,0.987129987,0.294736842,1.363901138
A,895,13,21,8,0,66,100,10.81081081,0.84,0.974903475,0.305263158,1.366932631
A,895,14,17,15,4,64,80.95238095,18.98734177,0.641509434,0.844484629,0.32,1.438581228
A,895,15,21,6,0,73,100,7.594936709,0.875,0.97920434,0.27,1.437192917
A,895,16,20,5,1,79,95.23809524,5.952380952,0.869565217,0.967687075,0.238095238,1.513632536
A,895,17,21,6,0,73,100,7.594936709,0.875,0.97920434,0.27,1.628160715
A,895,18,20,5,1,59,95.23809524,7.8125,0.869565217,0.974330357,0.294117647,1.226572514
A,895,19,21,27,0,87,100,23.68421053,0.608695652,0.980994152,0.355555556,1.928163052
A,895,20,0,0,0,75,0,0,0,,0,1.087795258
A,895,21,21,6,0,68,100,8.108108108,0.875,0.977799228,0.284210526,1.374842882
A,895,22,20,6,1,58,95.23809524,9.375,0.85106383,0.953125,0.305882353,1.229630232
A,895,23,20,24,1,40,95.23809524,37.5,0.615384615,0.864955357,0.517647059,1.23294425
A,895,24,18,4,3,50,85.71428571,7.407407407,0.837209302,0.936948854,0.293333333,1.0882864
A,895,25,19,21,2,53,90.47619048,28.37837838,0.62295082,0.845881596,0.421052632,1.371081352
A,895,26,20,23,1,71,95.23809524,24.46808511,0.625,0.904002026,0.373913043,1.653891802
A,895,27,20,22,1,77,95.23809524,22.22222222,0.634920635,0.833573834,0.35,1.722218752
A,895,28,21,11,0,63,100,14.86486486,0.79245283,0.97007722,0.336842105,1.371683121
A,895,29,0,15,21,49,0,23.4375,0,0.3828125,0.176470588,1.232322931
A,895,30,0,15,21,49,0,23.4375,0,0.3828125,0.176470588,1.232002974
A,896,1,21,6,0,68,100,8.108108108,0.875,0.997104247,0.284210526,1.375567198
A,896,2,17,17,4,57,80.95238095,22.97297297,0.618181818,0.8497426,0.357894737,1.373098135
A,896,3,18,20,3,124,85.71428571,13.88888889,0.610169492,0.887566138,0.23030303,2.361059666
A,896,4,19,8,2,61,90.47619048,11.5942029,0.791666667,0.89889579,0.3,1.302826166
A,896,5,21,12,0,72,100,14.28571429,0.777777778,0.952097506,0.314285714,1.520127296
A,896,6,16,0,5,84,76.19047619,0,0.864864865,0.880952381,0.152380952,1.519462585
A,896,7,18,34,3,45,85.71428571,43.03797468,0.493150685,0.83031947,0.52,1.4452672
A,896,8,15,0,6,54,71.42857143,0,0.833333333,0.857142857,0.2,1.092853069
A,896,9,18,32,3,57,85.71428571,35.95505618,0.507042254,0.756554307,0.454545455,1.586398363
A,896,10,19,4,2,55,90.47619048,6.779661017,0.863636364,0.964083939,0.2875,1.165027142
A,896,11,0,21,21,43,0,32.8125,0,0.600074405,0.247058824,1.230362177
A,896,12,21,8,0,66,100,10.81081081,0.84,0.974903475,0.305263158,1.385571957
A,896,13,18,26,3,48,85.71428571,35.13513514,0.553846154,0.79954955,0.463157895,1.379709005
A,896,14,19,10,2,69,90.47619048,12.65822785,0.76,0.927064497,0.29,1.446947575
A,896,15,20,5,1,74,95.23809524,6.329113924,0.869565217,0.967148885,0.25,1.452897787
A,896,16,20,5,1,79,95.23809524,5.952380952,0.869565217,0.967687075,0.238095238,1.524647236
A,896,17,21,6,0,68,100,8.108108108,0.875,0.977799228,0.284210526,1.435614347
A,896,18,21,5,0,59,100,7.8125,0.893617021,0.97358631,0.305882353,1.27903986
A,896,19,2,45,19,54,9.523809524,45.45454545,0.058823529,0.485329485,0.391666667,1.741099834
A,896,20,17,19,3,36,85,34.54545455,0.607142857,0.807727273,0.48,1.09815526
A,896,21,21,8,0,61,100,11.5942029,0.84,0.973084886,0.322222222,1.2983284
A,896,22,21,5,0,59,100,7.8125,0.893617021,0.97358631,0.305882353,1.242930651
A,896,23,20,19,1,45,95.23809524,29.6875,0.666666667,0.943824405,0.458823529,1.232448578
A,896,24,19,20,2,34,90.47619048,37.03703704,0.633333333,0.83994709,0.52,1.099167585
A,896,25,21,6,0,68,100,8.108108108,0.875,0.977799228,0.284210526,1.382719278
A,896,26,19,30,2,64,90.47619048,31.91489362,0.542857143,0.78698075,0.426086957,1.661487579
A,896,27,21,27,0,67,100,28.72340426,0.608695652,0.79964539,0.417391304,1.661441803
A,896,28,18,21,3,53,85.71428571,28.37837838,0.6,0.844916345,0.410526316,1.367243052
A,896,29,0,15,21,49,0,23.4375,0,0.3828125,0.176470588,1.24167943
A,896,30,0,15,21,49,0,23.4375,0,0.3828125,0.176470588,1.231210947
A,897,1,21,13,0,61,100,17.56756757,0.763636364,0.977799228,0.357894737,1.384886503
A,897,2,0,15,21,54,0,21.73913043,0,0.391304348,0.166666667,1.300519943
A,897,3,18,4,3,140,85.71428571,2.777777778,0.837209302,0.923941799,0.133333333,2.378630161
A,897,4,0,0,21,69,0,0,0,0.5,0,1.297716141
A,897,5,20,18,1,61,95.23809524,22.78481013,0.677966102,0.902350814,0.38,1.450790405
A,897,6,18,2,3,77,85.71428571,2.53164557,0.87804878,0.925557565,0.2,1.452015162
A,897,7,20,19,1,60,95.23809524,24.05063291,0.666666667,0.901446655,0.39,1.446517467
A,897,8,16,29,5,20,76.19047619,59.18367347,0.484848485,0.620991254,0.642857143,1.029521465
A,897,9,8,7,13,82,38.0952381,7.865168539,0.444444444,0.653023007,0.136363636,1.592578888
A,897,10,18,2,3,57,85.71428571,3.389830508,0.87804878,0.924535916,0.25,1.171233892
A,897,11,0,35,21,29,0,54.6875,0,0.21875,0.411764706,1.224086523
A,897,12,21,5,0,64,100,7.246376812,0.893617021,0.989302968,0.288888889,1.312034845
A,897,13,19,28,2,41,90.47619048,40.57971014,0.558823529,0.790545204,0.522222222,1.29567337
A,897,14,18,32,3,47,85.71428571,40.50632911,0.507042254,0.723930078,0.5,1.44481945
A,897,15,19,3,2,76,90.47619048,3.797468354,0.88372093,0.947860157,0.22,1.446750164
A,897,16,20,5,1,74,95.23809524,6.329113924,0.869565217,0.967148885,0.25,1.442662239
A,897,17,20,19,1,55,95.23809524,25.67567568,0.666666667,0.876447876,0.410526316,1.381510496
A,897,18,20,5,1,54,95.23809524,8.474576271,0.869565217,0.972154964,0.3125,1.152079582
A,897,19,20,24,1,70,95.23809524,25.53191489,0.615384615,0.925278622,0.382608696,1.650953054
A,897,20,0,15,21,39,0,27.77777778,0,0.361111111,0.2,1.085502625
A,897,21,21,7,0,62,100,10.14492754,0.857142857,0.975500345,0.311111111,1.302549362
A,897,22,19,5,2,59,90.47619048,7.8125,0.844444444,0.939360119,0.282352941,1.2204566
A,897,23,18,5,3,59,85.71428571,7.8125,0.818181818,0.913690476,0.270588235,1.23565793
A,897,24,21,19,0,35,100,35.18518519,0.68852459,0.916666667,0.533333333,1.090883732
A,897,25,21,8,0,66,100,10.81081081,0.84,0.961711712,0.305263158,1.36610508
A,897,26,20,27,1,67,95.23809524,28.72340426,0.588235294,0.818389058,0.408695652,1.654326439
A,897,27,19,11,2,108,90.47619048,9.243697479,0.745098039,0.920168067,0.214285714,2.00629878
A,897,28,16,17,5,57,76.19047619,22.97297297,0.592592593,0.786036036,0.347368421,1.362381697
A,897,29,0,15,21,49,0,23.4375,0,0.3828125,0.176470588,1.238679647
A,897,30,0,0,21,64,0,0,0,0.5,0,1.219299316
A,898,1,15,16,6,58,71.42857143,21.62162162,0.576923077,0.681467181,0.326315789,1.37025404
A,898,2,19,6,2,63,90.47619048,8.695652174,0.826086957,0.933402346,0.277777778,1.290014505
A,898,3,17,14,4,130,80.95238095,9.722222222,0.653846154,0.849702381,0.187878788,2.362784863
A,898,4,21,22,0,47,100,31.88405797,0.65625,0.925465839,0.477777778,1.30356741
A,898,5,21,19,0,60,100,24.05063291,0.68852459,0.886377336,0.4,1.44064045
A,898,6,21,8,0,71,100,10.12658228,0.84,0.94755877,0.29,1.443670988
A,898,7,19,18,2,61,90.47619048,22.78481013,0.655172414,0.89270645,0.37,1.435040236
A,898,8,17,23,4,26,80.95238095,46.93877551,0.557377049,0.699708455,0.571428571,1.020614147
A,898,9,13,20,8,69,61.9047619,22.47191011,0.481481481,0.712145532,0.3,1.579143286
A,898,10,16,0,5,59,76.19047619,0,0.864864865,0.880952381,0.2,1.160521507
A,898,11,0,0,21,64,0,0,0,0.5,0,1.220773458
A,898,12,21,5,0,64,100,7.246376812,0.893617021,0.989302968,0.288888889,1.303771496
A,898,13,19,13,2,56,90.47619048,18.84057971,0.716981132,0.851966874,0.355555556,1.291424751
A,898,14,20,18,1,61,95.23809524,22.78481013,0.677966102,0.915310428,0.38,1.441896439
A,898,15,20,4,1,75,95.23809524,5.063291139,0.888888889,0.970162749,0.24,1.443052292
A,898,16,21,5,0,74,100,6.329113924,0.893617021,0.990657022,0.26,1.43726182
A,898,17,21,19,0,55,100,25.67567568,0.68852459,0.917310167,0.421052632,1.376910925
A,898,18,21,7,0,52,100,11.86440678,0.857142857,0.990718321,0.35,1.147953987
A,898,19,7,38,14,56,33.33333333,40.42553191,0.212121212,0.453647416,0.391304348,1.656459808
A,898,20,21,5,0,74,100,6.329113924,0.893617021,0.990657022,0.26,1.438737631
A,898,21,0,26,21,43,0,37.68115942,0,0.311594203,0.288888889,1.295943499
A,898,22,14,22,6,83,70,20.95238095,0.5,0.769761905,0.288,2.041606665
A,898,23,19,6,2,58,90.47619048,9.375,0.826086957,0.935639881,0.294117647,1.240731955
A,898,24,21,5,0,49,100,9.259259259,0.893617021,0.985449735,0.346666667,1.09253931
A,898,25,21,6,0,68,100,8.108108108,0.875,0.977799228,0.284210526,1.383464336
A,898,26,18,34,3,55,85.71428571,38.20224719,0.493150685,0.8105939,0.472727273,1.590317249
A,898,27,19,15,2,59,90.47619048,20.27027027,0.690909091,0.94015444,0.357894737,1.377993345
A,898,28,21,19,0,90,100,17.43119266,0.68852459,0.999781564,0.307692308,1.873409271
A,898,29,14,9,7,55,66.66666667,14.0625,0.636363636,0.776041667,0.270588235,1.239866018
A,898,30,0,15,21,44,0,25.42372881,0,0.372881356,0.1875,1.167476177
A,899,1,21,21,0,53,100,28.37837838,0.666666667,0.962676963,0.442105263,1.374889374
A,899,2,19,5,2,64,90.47619048,7.246376812,0.844444444,0.940303658,0.266666667,1.313004255
A,899,3,16,14,5,130,76.19047619,9.722222222,0.62745098,0.835978836,0.181818182,2.371706009
A,899,4,21,14,0,80,100,14.89361702,0.75,0.913120567,0.304347826,1.660227299
A,899,5,20,19,1,65,95.23809524,22.61904762,0.666666667,0.83361678,0.371428571,1.516032696
A,899,6,21,7,0,72,100,8.860759494,0.857142857,0.978601567,0.28,1.448946953
A,899,7,20,5,1,74,95.23809524,6.329113924,0.869565217,0.974382158,0.25,1.447702646
A,899,8,16,15,5,34,76.19047619,30.6122449,0.615384615,0.619047619,0.442857143,1.022683144
A,899,9,21,9,0,80,100,10.11235955,0.823529412,0.978330658,0.272727273,1.587744713
A,899,10,21,6,0,73,100,7.594936709,0.875,0.97920434,0.27,1.442456245
A,899,11,21,7,0,77,100,8.333333333,0.857142857,0.979875283,0.266666667,1.520241499
A,899,12,21,19,0,50,100,27.53623188,0.68852459,0.91131815,0.444444444,1.311166763
A,899,13,21,19,0,75,100,20.21276596,0.68852459,0.889057751,0.347826087,1.665646076
A,899,14,19,30,2,49,90.47619048,37.97468354,0.542857143,0.905063291,0.49,1.4409554
A,899,15,17,1,4,78,80.95238095,1.265822785,0.871794872,0.903254973,0.18,1.447235107
A,899,16,21,7,0,77,100,8.333333333,0.857142857,0.985827664,0.266666667,1.521900177
A,899,17,20,19,1,55,95.23809524,25.67567568,0.666666667,0.918597169,0.410526316,1.373773575
A,899,18,20,6,0,54,100,10,0.869565217,0.985,0.325,1.163622618
A,899,19,18,30,3,64,85.71428571,31.91489362,0.52173913,0.777862209,0.417391304,1.659458637
A,899,20,20,6,1,73,95.23809524,7.594936709,0.85106383,0.957504521,0.26,1.444692373
A,899,21,0,15,21,54,0,21.73913043,0,0.391304348,0.166666667,1.304337263
A,899,22,16,22,4,78,80,22,0.551724138,0.7655,0.316666667,1.735892296
A,899,23,18,15,3,49,85.71428571,23.4375,0.666666667,0.796130952,0.388235294,1.237703085
A,899,24,21,7,0,47,100,12.96296296,0.857142857,0.996472663,0.373333333,1.084326267
A,899,25,21,7,0,62,100,10.14492754,0.857142857,0.975500345,0.311111111,1.318846703
A,899,26,13,20,8,69,61.9047619,22.47191011,0.481481481,0.713750669,0.3,1.588129282
A,899,27,15,10,6,89,71.42857143,10.1010101,0.652173913,0.809042809,0.208333333,1.730683804
A,899,28,21,37,0,57,100,39.36170213,0.53164557,0.804964539,0.504347826,1.664987564
A,899,29,21,6,0,73,100,7.594936709,0.875,0.97920434,0.27,1.444502592
A,899,30,0,0,21,59,0,0,0,0.5,0,1.167603493
A,900,1,19,20,2,49,90.47619048,28.98550725,0.633333333,0.913388544,0.433333333,1.313985109
