LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,895,1,21,11,0,63,100,14.86486486,0.79245283,0.985521236,0.336842105,1.895513535
A,895,2,20,5,1,54,95.23809524,8.474576271,0.869565217,0.972154964,0.3125,1.212778091
A,895,3,20,11,1,48,95.23809524,18.6440678,0.769230769,0.968523002,0.3875,1.202444315
A,895,4,20,2,1,192,95.23809524,1.030927835,0.930232558,0.975454099,0.102325581,3.161884546
A,895,5,16,12,5,47,76.19047619,20.33898305,0.653061224,0.887812752,0.35,1.196115494
A,895,6,17,21,4,63,80.95238095,25,0.576271186,0.839852608,0.361904762,1.571888924
A,895,7,19,16,2,58,90.47619048,21.62162162,0.678571429,0.894787645,0.368421053,1.585968018
A,895,8,19,17,2,47,90.47619048,26.5625,0.666666667,0.866071429,0.423529412,1.275549412
A,895,9,14,28,7,36,66.66666667,43.75,0.444444444,0.731770833,0.494117647,1.268063545
A,895,10,13,27,8,92,61.9047619,22.68907563,0.426229508,0.701880752,0.285714286,2.113309145
A,895,11,19,5,2,104,90.47619048,4.587155963,0.844444444,0.944735692,0.184615385,1.960111141
A,895,12,5,16,16,43,23.80952381,27.11864407,0.238095238,0.652945924,0.2625,1.196872711
A,895,13,4,43,0,53,100,44.79166667,0.156862745,0.92578125,0.47,1.508796453
A,895,14,17,36,4,33,80.95238095,52.17391304,0.459459459,0.747412008,0.588888889,1.349853039
A,895,15,20,16,1,53,95.23809524,23.1884058,0.701754386,0.873015873,0.4,1.351053238
A,895,16,10,17,11,42,47.61904762,28.81355932,0.416666667,0.61622276,0.3375,1.206078291
A,895,17,21,5,0,64,100,7.246376812,0.893617021,0.975500345,0.288888889,1.356370211
A,895,18,0,0,21,59,0,0,0,0.5,0,1.207480431
A,895,19,19,4,2,60,90.47619048,6.25,0.863636364,0.965029762,0.270588235,1.28016305
A,895,20,19,18,2,66,90.47619048,21.42857143,0.655172414,0.89484127,0.352380952,1.571029425
A,895,21,18,18,3,176,85.71428571,9.278350515,0.631578947,0.894329897,0.16744186,3.197831631
A,895,22,19,6,2,63,90.47619048,8.695652174,0.826086957,0.93857833,0.277777778,1.357804775
A,895,23,20,12,1,67,95.23809524,15.18987342,0.754716981,0.905364678,0.32,1.504667759
A,895,24,21,14,0,65,100,17.72151899,0.75,0.978300181,0.35,1.510133505
A,895,25,18,16,3,88,85.71428571,15.38461538,0.654545455,0.899496337,0.272,1.871759892
A,895,26,21,19,0,65,100,22.61904762,0.68852459,0.910147392,0.380952381,1.585269451
A,895,27,21,5,0,54,100,8.474576271,0.893617021,0.971347861,0.325,1.220820904
A,895,28,21,5,0,54,100,8.474576271,0.893617021,0.979015335,0.325,1.203277111
A,895,29,19,16,2,53,90.47619048,23.1884058,0.678571429,0.912698413,0.388888889,1.36810708
A,895,30,19,6,2,63,90.47619048,8.695652174,0.826086957,0.93857833,0.277777778,1.348436832
A,896,1,18,29,3,50,85.71428571,36.70886076,0.529411765,0.852622061,0.47,1.515326023
A,896,2,21,5,0,54,100,8.474576271,0.893617021,0.973769169,0.325,1.214682341
A,896,3,16,18,5,36,76.19047619,33.33333333,0.581818182,0.742063492,0.453333333,1.132466316
A,896,4,16,0,5,194,76.19047619,0,0.864864865,0.880952381,0.074418605,3.221197128
A,896,5,17,2,4,57,80.95238095,3.389830508,0.85,0.921307506,0.2375,1.229127169
A,896,6,20,22,1,62,95.23809524,26.19047619,0.634920635,0.87329932,0.4,1.577796221
A,896,7,18,16,3,53,85.71428571,23.1884058,0.654545455,0.879917184,0.377777778,1.358678579
A,896,8,19,17,2,47,90.47619048,26.5625,0.666666667,0.866071429,0.423529412,1.295267105
A,896,9,14,28,7,36,66.66666667,43.75,0.444444444,0.72358631,0.494117647,1.291316748
A,896,10,13,27,8,92,61.9047619,22.68907563,0.426229508,0.721888756,0.285714286,2.09783864
A,896,11,21,5,0,104,100,4.587155963,0.893617021,0.991917868,0.2,1.953030348
A,896,12,5,16,16,38,23.80952381,29.62962963,0.238095238,0.552028219,0.28,1.139219999
A,896,13,0,26,0,69,0,27.36842105,0,,0.273684211,1.459499121
A,896,14,13,14,8,55,61.9047619,20.28985507,0.541666667,0.736024845,0.3,1.398416281
A,896,15,20,16,1,53,95.23809524,23.1884058,0.701754386,0.873015873,0.4,1.382734537
A,896,16,7,20,14,44,33.33333333,31.25,0.291666667,0.585565476,0.317647059,1.281116247
A,896,17,19,5,2,64,90.47619048,7.246376812,0.844444444,0.954796411,0.266666667,1.368074894
A,896,18,13,13,8,41,61.9047619,24.07407407,0.553191489,0.739858907,0.346666667,1.140673637
A,896,19,19,4,2,60,90.47619048,6.25,0.863636364,0.965029762,0.270588235,1.282038927
A,896,20,20,20,1,64,95.23809524,23.80952381,0.655737705,0.871031746,0.380952381,1.583544493
A,896,21,19,18,2,176,90.47619048,9.278350515,0.655172414,0.924275896,0.172093023,3.23059392
A,896,22,21,6,0,63,100,8.695652174,0.875,0.996549344,0.3,1.376655817
A,896,23,19,9,2,70,90.47619048,11.39240506,0.775510204,0.951175407,0.28,1.525746822
