a,window_size,loss_func,alpha,PD_median,FAR_median,Youden_index_median
-0.5,20,huber,0.2,0.9523809523809523,0.07339449541284404,0.8789864569681083
0.30000000000000027,20,huber,0.30000000000000004,0.9523809523809523,0.08527131782945736,0.8671096345514949
0.20000000000000018,20,huber,0.30000000000000004,0.9523809523809523,0.0875,0.8648809523809523
-0.3999999999999999,20,huber,0.2,0.9023809523809524,0.0377373417721519,0.8646436106088005
0.10000000000000009,20,huber,0.30000000000000004,0.9523809523809523,0.09195402298850575,0.8604269293924466
0.0,20,huber,0.30000000000000004,0.9523809523809523,0.0931782945736434,0.8592026578073089
-0.09999999999999987,20,huber,0.30000000000000004,0.9523809523809523,0.0931782945736434,0.8592026578073089
-0.19999999999999996,20,huber,0.30000000000000004,0.9523809523809523,0.09333333333333334,0.859047619047619
-0.2999999999999998,20,huber,0.30000000000000004,0.9523809523809523,0.10256410256410256,0.8498168498168498
0.8000000000000003,20,huber,0.30000000000000004,0.9047619047619048,0.057971014492753624,0.8467908902691511
1.1,20,huber,0.4,0.9,0.05555555555555555,0.8444444444444444
0.7000000000000002,20,huber,0.30000000000000004,0.9047619047619048,0.06329113924050633,0.8414707655213984
1.1,20,huber,0.5,0.9047619047619048,0.0643681562592483,0.8403937485026565
1.0,20,huber,0.4,0.9047619047619048,0.06850175967823027,0.8362601450836745
0.6000000000000001,20,huber,0.30000000000000004,0.9047619047619048,0.06988372093023257,0.8348781838316722
1.1,20,huber,0.6000000000000001,0.9047619047619048,0.07179675994108983,0.832965144820815
1.1,20,huber,0.7000000000000001,0.9047619047619048,0.07414679423104384,0.8306151105308609
0.5,20,huber,0.30000000000000004,0.9047619047619048,0.07446808510638298,0.8302938196555218
0.40000000000000036,20,huber,0.30000000000000004,0.9047619047619048,0.07936507936507936,0.8253968253968254
0.9000000000000004,20,huber,0.4,0.9047619047619048,0.08108108108108109,0.8236808236808237
0.5,20,huber,0.4,0.9523809523809523,0.12903225806451613,0.8233486943164362
1.0,20,huber,0.5,0.9047619047619048,0.08147879374294469,0.8232831110189601
1.2000000000000002,20,huber,0.30000000000000004,0.8571428571428571,0.03686714237172953,0.8202757147711276
1.3000000000000003,20,huber,0.4,0.8571428571428571,0.03686714237172953,0.8202757147711276
1.0,20,huber,0.6000000000000001,0.9047619047619048,0.08653846153846154,0.8182234432234432
1.1,20,huber,0.30000000000000004,0.8571428571428571,0.04036331052460085,0.8167795466182562
1.0,20,huber,0.7000000000000001,0.9047619047619048,0.08860759493670886,0.8161543098251959
1.3000000000000003,20,huber,0.5,0.8571428571428571,0.042036440744522105,0.815106416398335
1.0,20,huber,0.8,0.9047619047619048,0.0898876404494382,0.8148742643124666
1.2000000000000002,20,huber,0.4,0.8571428571428571,0.0425531914893617,0.8145896656534954
0.40000000000000036,20,huber,0.4,0.9523809523809523,0.13836477987421383,0.8140161725067385
0.6000000000000001,20,huber,0.5,0.9523809523809523,0.13924050632911392,0.8131404460518384
1.0,20,huber,0.30000000000000004,0.8571428571428571,0.0449438202247191,0.812199036918138
-0.09999999999999987,15,mse,0.1,0.9523809523809523,0.14285714285714285,0.8095238095238095
-0.3999999999999999,15,huber,0.2,0.8095238095238095,0.0,0.8095238095238095
0.0,15,mse,0.1,0.9523809523809523,0.14285714285714285,0.8095238095238095
1.1,20,huber,0.8,0.8848684210526316,0.07547169811320754,0.8093967229394241
0.8000000000000003,20,huber,0.4,0.9047619047619048,0.09549138804457953,0.8092705167173252
0.9000000000000004,20,huber,0.5,0.9047619047619048,0.09615384615384616,0.8086080586080586
-0.19999999999999996,15,mse,0.1,0.9523809523809523,0.14440454124189062,0.8079764111390617
0.6000000000000001,20,huber,0.6000000000000001,0.9523809523809523,0.1452513966480447,0.8071295557329077
1.2000000000000002,20,huber,0.5,0.8571428571428571,0.05074018450976185,0.8064026726330953
0.9000000000000004,20,huber,0.30000000000000004,0.8571428571428571,0.05319148936170213,0.803951367781155
0.9000000000000004,20,huber,0.6000000000000001,0.9047619047619048,0.10126582278481013,0.8034960819770947
0.30000000000000027,20,huber,0.4,0.9523809523809523,0.14902948861515491,0.8033514637657975
0.6000000000000001,20,huber,0.7000000000000001,0.9523809523809523,0.1492367281840966,0.8031442241968557
0.9000000000000004,20,huber,0.7000000000000001,0.9047619047619048,0.1016949152542373,0.8030669895076674
0.5,20,huber,0.5,0.9523809523809523,0.151619644723093,0.8007613076578594
0.7000000000000002,20,huber,0.4,0.9047619047619048,0.10464055269504008,0.8001213520668646
1.2000000000000002,20,huber,0.6000000000000001,0.8571428571428571,0.058429621848739496,0.7987132352941176
0.6000000000000001,20,huber,0.8,0.9523809523809523,0.15384615384615385,0.7985347985347985
0.9000000000000004,20,huber,0.8,0.9047619047619048,0.10638297872340426,0.7983789260385005
1.2000000000000002,20,huber,0.7000000000000001,0.8571428571428571,0.06060606060606061,0.7965367965367964
0.8000000000000003,20,huber,0.5,0.9047619047619048,0.10864646862089317,0.7961154361410117
-0.3999999999999999,20,huber,0.30000000000000004,0.9523809523809523,0.15657376331533635,0.795807189065616
0.20000000000000018,20,huber,0.4,0.9523809523809523,0.15730337078651685,0.7950775815944355
0.30000000000000027,15,huber,0.30000000000000004,0.8571428571428571,0.06299212598425197,0.7941507311586051
1.2000000000000002,20,huber,0.8,0.8571428571428571,0.0630254882489242,0.7941173688939329
0.9000000000000004,20,huber,0.9,0.9047619047619048,0.11088342440801457,0.7938784803538902
0.20000000000000018,15,huber,0.30000000000000004,0.8571428571428571,0.06422018348623854,0.7929226736566186
