Atk Average Speed,Vo Average Speed,Atk Entry Time,Atk Exit Time,AtK Sim Time,Vo Entry Time,Vo Exit Time,Vo Sim Time,Attacker Messages,Atk First Msg Time,Atk Last Msg Time,AtK Msg Duration,Total Msg Time < 100,MHID,Less than 100
19.915499999999998,18.905238095238094,901,1000,99,910,1014,104,70,910.000236335159,979.000240313184,69.000003978025,0,,
20.192020202020203,17.997117117117117,901,999,98,910,1020,110,62,910.00023631541,999.000242037187,89.00000572177703,0.0,h0,1
11.331420454545453,11.833333333333334,901,1076,175,910,1077,167,167,910.000236334322,1076.000237059293,166.00000072497107,101.00000075161915,h0,102
16.547272727272727,18.09963963963964,901,1021,120,910,1020,110,111,910.000236328816,1020.000234103552,109.99999777473602,109.99999777473602,h0,95
18.39166666666667,17.58557522123894,901,1008,107,910,1022,112,99,910.000236319547,1008.000238736006,98.0000024164591,0.0,h0,1
17.91171171171171,19.996299999999998,901,1011,110,910,1009,99,100,910.000236322587,1009.000242197933,99.00000587534589,99.00000587534589,h0,79
18.31256880733945,20.221616161616165,901,1009,108,910,1008,98,99,910.000236260069,1008.000238114658,98.00000185458907,98.00000185458907,h0,81
20.06222222222222,16.536749999999998,901,999,98,910,1029,119,61,910.000236331013,970.00024330128,60.00000697026701,0.0,h0,1
17.13586206896552,17.92828828828829,901,1016,115,910,1020,110,107,910.000236338819,1016.000244228009,106.00000788918999,27.000003907652058,h0,28
19.654901960784315,18.433796296296297,901,1002,101,910,1017,107,93,910.000236270685,1002.000240997932,92.00000472724696,24.000005061189995,h0,4
18.56333333333333,19.705247524752473,901,1008,107,910,1010,100,99,910.000236255536,1008.00023818909,98.00000193355402,98.00000193355402,h0,27
18.08318181818182,18.85698113207547,901,1010,109,910,1015,105,101,910.00023634137,1010.000246390683,100.00001004931289,0,,
19.286057692307693,17.22844827586207,901,1004,103,910,1025,115,95,910.000236238098,1004.000235902022,93.99999966392409,15.999999089000994,h0,17
15.326384615384615,19.74376237623762,901,1030,129,910,1010,100,101,910.000236335534,1010.000247297329,100.00001096179494,40.000004005677056,h0,41
18.538611111111113,20.482857142857146,901,1008,107,910,1007,97,98,910.000236331127,1007.000234091976,96.99999776084906,96.99999776084906,h0,37
15.632047244094489,18.962952380952384,901,1027,126,910,1014,104,105,910.000236333809,1014.000236743871,104.00000041006206,31.999997958991003,h0,33
19.716138613861382,20.726666666666667,901,1001,100,910,1005,95,92,910.000236338431,1001.000236311742,90.99999997331099,8.999996981808977,h0,10
23.064186046511626,18.796603773584906,901,986,85,910,1015,105,33,910.000236326415,986.000242266657,76.00000594024198,0.0,h0,1
16.735714285714284,18.393796296296298,901,1019,118,910,1017,107,108,910.000236324289,1017.000235186869,106.99999886258001,106.99999886258001,h0,66
16.67075,18.913301886792453,901,1020,119,910,1015,105,106,910.000236322133,1015.000240371525,105.00000404939203,95.00000301003104,h0,71
18.708691588785047,20.6903125,901,1007,106,910,1005,95,96,910.000236330829,1005.00023910174,95.00000277091101,95.00000277091101,h0,58
19.075673076923078,16.20910569105691,901,1004,103,910,1032,122,39,910.000236331915,948.000246288999,38.0000099570841,0.0,h0,1
22.062666666666665,20.7871875,901,990,89,910,1005,95,19,910.000236345912,928.000244298267,18.000007952355077,0,,
24.407195121951222,21.206382978723404,901,982,81,910,1003,93,47,910.000236329632,956.000239314161,46.00000298452903,0.0,h0,1
17.08179487179487,18.22724770642202,901,1017,116,910,1018,108,108,910.000236334245,1017.000235107451,106.99999877320602,69.99999381624298,h0,65
16.37549180327869,17.862410714285716,901,1022,121,910,1021,111,112,910.000236331812,1021.000238095932,111.00000176412004,111.00000176412004,h0,91
20.585257731958766,17.55359649122807,901,997,96,910,1023,113,78,910.000236331556,987.000246287309,77.00000995575294,54.000007983136925,h0,35
18.059909909909916,19.8682,901,1011,110,910,1009,99,100,910.000236323191,1009.000242117028,99.00000579383709,99.00000579383709,h0,62
18.39211009174312,20.28234693877551,901,1009,108,910,1007,97,98,910.000236336494,1007.000234098499,96.99999776200502,84.99998877472706,h0,86
20.119090909090907,20.414329896907216,901,999,98,910,1006,96,90,910.000236321349,999.000241664267,89.00000534291803,0.0,h0,1
17.601140350877195,11.640348837209302,901,1014,113,910,1081,171,85,910.000236296063,1002.000241318467,92.00000502240403,0.0,h0,1
19.9266,20.435714285714287,901,1000,99,910,1007,97,91,910.000236326936,1000.000245557867,90.00000923093091,0.0,h0,1
17.310086956521737,18.35583333333333,901,1015,114,910,1017,107,106,910.000236336259,1015.000240177612,105.00000384135296,82.00000285912097,h0,83
18.265596330275233,16.95889830508475,901,1009,108,910,1027,117,100,910.000236326357,1009.000243024893,99.00000669853603,37.000004995747986,h0,21
9.813694581280787,7.81765625,901,1103,202,910,1165,255,180,910.000236333244,1089.000238303149,179.00000196990504,106.99999899202203,h0,92
24.470493827160496,21.21936170212766,901,981,80,910,1003,93,26,910.00023633913,935.000246305303,25.000009966173025,0,,
16.706386554621847,20.631770833333334,901,1019,118,910,1005,95,96,910.000236332082,1005.000239849836,95.00000351775407,47.000005995896004,h0,35
15.410923076923078,15.1612213740458,901,1030,129,910,1040,130,121,910.00023633277,1030.000235754162,119.99999942139209,86.00000599619602,h0,76
20.07262626262626,21.566129032258065,901,999,98,910,1002,92,90,910.000236280827,999.000241180681,89.00000489985393,89.00000489985393,h0,47
13.89958041958042,14.160851063829787,901,1043,142,910,1050,140,134,910.000236327189,1043.000235252753,132.9999989255641,132.9999989255641,h0,108
19.153846153846153,20.47591836734694,901,1004,103,910,1007,97,95,910.000236341992,1004.00023517789,93.99999883589794,63.99999585910996,h0,65
20.881770833333334,18.90009523809524,901,996,95,910,1014,104,85,910.000236326844,994.000235316951,83.99999899010709,0.0,h0,1
18.97361904761905,20.222244897959182,901,1005,104,910,1007,97,96,910.000236326592,1005.000239173911,95.00000284731902,95.00000284731902,h0,42
21.301720430107526,22.65034090909091,901,993,92,910,997,87,84,910.000236327286,993.000243295373,83.00000696808706,83.00000696808706,h0,30
18.48490740740741,15.637795275590554,901,1008,107,910,1036,126,64,910.000236326267,973.000242299528,63.00000597326107,0.0,h0,1
22.42494382022472,20.651979166666663,901,989,88,910,1005,95,43,910.00023632335,952.000236282736,41.999999959385946,0.0,h0,1
15.714761904761906,19.035142857142855,901,1026,125,910,1014,104,105,910.000236328597,1014.000236988697,104.0000006601,56.000002992831014,h0,37
17.8875,18.820660377358493,901,1012,111,910,1015,105,103,910.000236339022,1012.000241268357,102.00000492933498,86.00000595325196,h0,87
20.981368421052633,22.82896551724138,901,995,94,910,996,86,86,910.000236332998,995.000238108651,85.000001775653,85.000001775653,h0,55
18.291009174311927,19.453627450980395,901,1009,108,910,1011,101,100,910.000236344385,1009.00024216832,99.000005823935,63.999995838920995,h0,65
