LOS,a,window_size,loss_func,alpha,PD_median,FAR_median,Youden_index_median
E,-0.7,10,mse,0.0,0.0,0.0,0.0
E,-0.7,10,rmse,0.0,0.0,0.0,0.0
E,-0.7,15,hausdorff,0.0,0.0,0.0,0.0
E,-0.7,15,huber,0.0,0.0,0.0,0.0
E,-0.7,15,huber,0.1,0.0,0.0,0.0
E,-0.8999999999999999,15,mae,0.0,0.0,0.0,0.0
E,-0.8999999999999999,15,mse,0.0,0.0,0.0,0.0
E,-0.7,15,huber,0.2,0.0,0.0,0.0
E,-0.7,15,mae,0.0,0.0,0.0,0.0
E,-0.7,15,mse,0.0,0.0,0.0,0.0
E,-0.7,15,rmse,0.0,0.0,0.0,0.0
E,-0.7,20,hausdorff,0.0,0.0,0.0,0.0
E,-0.7,20,huber,0.0,0.0,0.0,0.0
E,-0.7,20,huber,0.1,0.0,0.0,0.0
E,-2.0,15,hausdorff,0.0,0.0,0.0,0.0
E,2.0,15,huber,0.0,0.0,0.0,0.0
E,2.0,15,huber,0.1,0.0,0.0,0.0
E,2.0,15,huber,0.2,0.0,0.0,0.0
E,2.0,15,mae,0.0,0.0,0.0,0.0
E,-2.0,15,mae,0.0,0.0,0.0,0.0
E,2.0,15,hausdorff,0.0,0.0,0.0,0.0
E,-0.7,20,huber,0.2,0.0,0.0,0.0
E,-0.7,20,mae,0.0,0.0,0.0,0.0
E,-0.7,20,mse,0.0,0.0,0.0,0.0
E,-0.7,20,rmse,0.0,0.0,0.0,0.0
E,-0.8999999999999999,15,huber,0.0,0.0,0.0,0.0
E,-0.8999999999999999,15,huber,0.1,0.0,0.0,0.0
E,-0.8999999999999999,15,huber,0.2,0.0,0.0,0.0
E,-0.5999999999999999,5,hausdorff,0.0,0.0,0.0,0.0
E,-0.5999999999999999,5,huber,0.0,0.0,0.0,0.0
E,-0.5999999999999999,5,huber,0.1,0.0,0.0,0.0
E,-0.5999999999999999,5,huber,0.2,0.0,0.0,0.0
E,-0.5999999999999999,5,mae,0.0,0.0,0.0,0.0
E,-0.5999999999999999,5,mse,0.0,0.0,0.0,0.0
E,-0.5999999999999999,5,rmse,0.0,0.0,0.0,0.0
E,-0.5999999999999999,10,hausdorff,0.0,0.0,0.0,0.0
E,-0.5999999999999999,10,huber,0.0,0.0,0.0,0.0
