LOS,DepartureTime,Iteration,TP,FP,FN,TN,PD,FAR,F1,AUC,Anomaly_Prob,Time_sec
A,900.0,15.5,20.0,11.0,1.0,62.0,95.2381,13.1624,0.7131,0.9229,0.3134,1.2811
B,900.0,15.5,20.0,9.0,1.0,81.0,95.2381,9.5745,0.8,0.9489,0.2612,1.603
C,900.0,15.5,20.0,11.0,1.0,79.0,95.2381,10.8108,0.7451,0.9319,0.277,1.5538
D,900.0,15.5,19.0,13.0,2.0,107.5,90.4762,9.0455,0.6885,0.9214,0.2182,1.9519
E,900.0,15.0,15.0,4.0,5.0,150.5,75.0,2.6919,0.7778,0.8571,0.12,2.5478
