LOS,a,window_size,loss_func,PD,FAR,Youden_index
B,-0.2999999999999985,15,rmse,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.2999999999999985,15,mae,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.3999999999999986,15,mae,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.3999999999999986,15,hausdorff,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.09999999999999831,15,rmse,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.1999999999999984,15,mae,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.2999999999999985,15,hausdorff,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.49999999999999867,15,hausdorff,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.49999999999999867,15,rmse,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.09999999999999831,15,hausdorff,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.1999999999999984,15,hausdorff,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.49999999999999867,15,mae,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.09999999999999831,15,mae,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,0.10000000000000187,15,mae,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,0.10000000000000187,15,rmse,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,0.10000000000000187,15,hausdorff,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,1.7763568394002505e-15,15,rmse,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,1.7763568394002505e-15,15,hausdorff,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,1.7763568394002505e-15,15,mae,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.5999999999999988,15,rmse,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.5999999999999988,15,mae,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.5999999999999988,15,hausdorff,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.3999999999999986,15,rmse,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,-0.1999999999999984,15,rmse,0.9523809523809523,0.19047619047619047,0.7619047619047619
B,0.6000000000000023,15,mae,0.9047619047619048,0.15476190476190477,0.75
B,0.6000000000000023,15,hausdorff,0.9047619047619048,0.15476190476190477,0.75
B,0.6000000000000023,15,rmse,0.9047619047619048,0.15476190476190477,0.75
B,0.30000000000000204,15,mae,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.30000000000000204,15,hausdorff,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.5000000000000022,15,hausdorff,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.5000000000000022,15,mae,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.20000000000000195,15,hausdorff,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.40000000000000213,15,mae,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.30000000000000204,15,rmse,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.5000000000000022,15,rmse,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.40000000000000213,15,rmse,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.40000000000000213,15,hausdorff,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.20000000000000195,15,rmse,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,0.20000000000000195,15,mae,0.9047619047619048,0.16666666666666666,0.7380952380952381
B,-0.1999999999999984,15,mse,0.9523809523809523,0.21428571428571427,0.738095238095238
B,0.5000000000000022,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,-0.09999999999999831,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,-0.49999999999999867,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,-0.1999999999999984,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,-0.2999999999999985,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,-0.09999999999999831,15,mse,0.9523809523809523,0.21428571428571427,0.738095238095238
B,-0.49999999999999867,15,mse,0.9523809523809523,0.21428571428571427,0.738095238095238
B,-0.3999999999999986,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,-0.2999999999999985,15,mse,0.9523809523809523,0.21428571428571427,0.738095238095238
B,0.20000000000000195,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,-0.5999999999999988,15,mse,0.9523809523809523,0.21428571428571427,0.738095238095238
B,1.7763568394002505e-15,15,mse,0.9523809523809523,0.21428571428571427,0.738095238095238
B,-0.6999999999999988,15,mse,0.9523809523809523,0.21428571428571427,0.738095238095238
B,1.7763568394002505e-15,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,-0.3999999999999986,15,mse,0.9523809523809523,0.21428571428571427,0.738095238095238
B,0.10000000000000187,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,0.40000000000000213,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,0.30000000000000204,10,mse,0.8571428571428571,0.11904761904761904,0.738095238095238
B,0.5000000000000022,15,mse,0.9047619047619048,0.17857142857142858,0.7261904761904762
B,0.10000000000000187,15,mse,0.9047619047619048,0.19047619047619047,0.7142857142857143
B,0.20000000000000195,15,mse,0.9047619047619048,0.19047619047619047,0.7142857142857143
B,0.30000000000000204,15,mse,0.9047619047619048,0.19047619047619047,0.7142857142857143
B,0.40000000000000213,15,mse,0.9047619047619048,0.19047619047619047,0.7142857142857143
B,0.7000000000000024,15,mse,0.8571428571428571,0.15476190476190477,0.7023809523809523
B,0.8000000000000025,15,mse,0.8571428571428571,0.15476190476190477,0.7023809523809523
B,0.6000000000000023,15,mse,0.8571428571428571,0.15476190476190477,0.7023809523809523
B,0.9000000000000026,15,mse,0.8571428571428571,0.15476190476190477,0.7023809523809523
B,1.1000000000000028,15,mse,0.8095238095238095,0.11904761904761904,0.6904761904761905
B,1.2000000000000028,15,mse,0.8095238095238095,0.11904761904761904,0.6904761904761905
B,1.0000000000000027,15,mse,0.8095238095238095,0.13095238095238096,0.6785714285714286
